SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;OPERATION_DURATION;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;148;32.0;180.0;7.4;0;0;0;2;18:00;0.08;0.0;0.0;0.08;147.75;OUTROS_LIBRA;BERÇO ARM 34;2;18:05;2;19:15;2;19:15;8;23:00;;;;;;
S002;149;50.0;305.0;8.6;1;1;0;2;06:00;0.5;0.0;0.17;0.67;10.416666666666666;CONCAIS;BERÇO OUT 1;2;06:40;2;08:00;2;08:00;2;18:25;2;20:15;2;21:35
S002;150;52.0;331.43;8.65;1;1;0;2;06:45;0.08;0.0;0.0;0.08;9.583333333333334;CONCAIS;BERÇO ARM 31/32;2;06:50;2;08:05;2;08:05;2;17:40;2;20:35;2;21:50
S002;151;28.0;183.2;8.5;0;0;0;2;16:00;1.42;0.0;0.17;1.58;20.833333333333332;TRANSPETRO;BERÇO AL 01;2;17:35;2;19:25;2;19:25;3;16:15;3;16:25;3;17:55
S002;152;40.0;272.08;10.2;0;0;0;2;07:00;0.08;0.0;0.0;0.08;13.75;SANTOSBR;BERÇO TECON 3;2;07:05;2;07:55;2;07:55;2;21:40;2;21:40;2;22:50
S002;153;48.0;333.17;11.4;1;0;0;2;19:30;0.08;0.0;0.0;0.08;22.0;SANTOSBR;BERÇO TECON 1.2;2;19:35;2;20:30;2;20:30;3;18:30;;;;;;
S002;154;51.0;336.0;14.3;1;0;0;2;09:48;1.83;0.0;0.0;1.83;20.75;SANTOSBR;BERÇO TECON 2;2;11:40;2;12:35;2;12:35;3;09:20;3;09:20;3;10:35
S002;155;32.06;179.89;8.0;0;0;0;2;14:30;2.92;0.0;0.25;3.17;56.166666666666664;TIPLAM;BERÇO TIPLAM 2;2;17:40;2;19:35;2;19:35;5;03:45;;;;;;
S002;156;27.0;170.7;9.81;0;0;0;3;17:00;4.83;0.0;0.75;5.58;123.58333333333333;BRACELL;BERÇO ARM 35P1;3;22:35;3;23:20;3;23:20;9;02:55;;;;;;
S002;157;48.0;330.03;14.0;1;0;0;3;05:48;0.05;0.0;0.03;0.08;21.0;BTP;BERÇO BTP 1;3;05:55;3;07:25;3;07:25;4;04:25;;;;;;
S002;158;26.0;168.03;9.4;0;0;0;3;18:40;0.67;0.0;0.0;0.67;12.583333333333334;DPW;BERÇO DPW 2;3;19:20;3;20:35;3;20:35;4;09:10;;;;;;
S002;159;43.0;270.9;10.5;0;0;0;3;15:48;3.5;0.0;0.17;3.67;33.166666666666664;DPW;BERÇO DPW 1;3;19:30;3;20:45;3;20:45;5;05:55;;;;;;
S002;160;32.0;190.0;6.06;0;0;0;3;07:30;0.08;0.0;0.08;0.17;28.916666666666668;OUTROS_PONTA;BERÇO ARM 38;3;07:40;3;08:40;3;08:40;4;13:35;;;;;;
S002;161;32.0;199.98;11.7;0;0;0;3;20:13;2.33;0.0;0.17;2.5;222.0;OUTROS_MACUCO;BERÇO ARM 35P2;3;22:45;3;23:35;3;23:35;13;05:35;;;;;;
S002;162;44.0;289.59;8.3;0;1;0;3;06:30;0.08;0.0;0.0;0.08;10.583333333333334;CONCAIS;BERÇO ARM 31/32;3;06:35;3;07:45;3;07:45;3;18:20;3;20:20;3;21:30
S002;163;44.0;323.0;8.65;0;1;0;3;07:30;0.08;0.0;0.0;0.08;9.5;CONCAIS;BERÇO OUT 1;3;07:35;3;08:50;3;08:50;3;18:20;3;20:35;3;21:50
S002;165;30.0;218.45;7.6;0;0;0;3;09:00;0.08;0.0;0.0;0.08;18.333333333333332;SANTOSBR;BERÇO TECON 2;3;09:05;3;09:55;3;09:55;4;04:15;;;;;;
S002;166;45.0;299.9;14.5;0;0;0;3;13:00;0.08;0.0;0.0;0.08;17.833333333333332;SANTOSBR;BERÇO TECON 3;3;13:05;3;13:55;3;13:55;4;07:45;;;;;;
S002;167;32.0;229.0;6.8;0;0;0;3;11:00;7.92;0.0;0.5;8.42;55.083333333333336;TGRAO;BERÇO ARM 19;3;19:25;3;20:45;3;20:45;6;03:50;;;;;;
