SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;104;48.0;328.46;14.5;1;0;0;-1;05:06;0.0;0.0;0.25;0.25;26.583333333333332;1;2.0:40.0;2;9.0:45.0;BERÇO BTP 3;BTP;BERÇO BTP 3;1;00:20;1;01:50;1;01:50;2;04:25;2;04:25;2;06:15
S002;108;45.86;334.8;13.9;0;0;0;-1;23:36;0.0;13.83;0.0;13.83;33.583333333333336;1;15.0:7.0;3;4.0:14.0;BERÇO DPW 2;DPW;BERÇO DPW 2;1;13:55;1;15:10;1;15:10;3;00:45;3;01:45;3;03:20
S002;111;28.0;179.99;9.33;0;0;0;-1;09:00;0.0;0.0;0.08;0.08;167.5;1;21.0:10.0;8;23.0:40.0;BERÇO CS 03;OUTROS_SABOO;BERÇO CS 03;1;00:10;1;01:30;1;01:30;8;01:00;;;;;;
S002;118;45.0;299.9;10.1;0;0;0;0;20:54;0.0;0.0;0.0;0.0;15.583333333333334;2;13.0:20.0;3;8.0:57.0;BERÇO BTP 3;BTP;BERÇO BTP 1;1;00:05;1;01:30;1;01:30;1;17:05;1;18:00;1;19:45
S002;121;46.0;334.8;10.1;0;0;0;0;19:12;47.92;3.33;0.08;51.33;30.416666666666668;4;10.0:0.0;5;19.0:10.0;BERÇO DPW 1;DPW;BERÇO DPW 2;3;03:25;3;05:00;3;05:00;4;11:25;4;13:05;4;14:20
S002;128;51.0;336.0;10.8;1;0;0;0;15:00;0.0;10.75;0.0;10.75;31.916666666666668;2;0.0:55.0;3;14.0:55.0;BERÇO TECON 3;SANTOSBR;BERÇO TECON 2;1;10:50;1;12:05;1;12:05;2;20:00;2;21:00;2;21:55
S002;131;48.0;299.99;11.3;1;0;0;1;00:45;3.0;11.83;1.0;15.83;14.416666666666666;2;4.0:25.0;2;22.0:13.0;BERÇO BTP 2;BTP;BERÇO BTP 1;1;16:35;1;18:05;1;18:05;2;08:30;2;08:30;2;10:20
S002;132;32.0;231.0;12.0;0;0;0;1;13:54;6.67;27.17;0.25;34.08;14.083333333333334;2;13.0:42.0;3;8.0:24.0;BERÇO DPW 1;DPW;BERÇO DPW 1;3;00:00;3;01:35;3;01:35;3;15:40;3;15:40;3;16:55
S002;133;32.0;225.0;9.25;0;0;0;1;01:10;2.83;12.83;0.0;15.67;56.75;1;9.0:0.0;3;23.0:36.0;BERÇO DPW 3;DPW CELULOSE;BERÇO DPW 4;1;16:50;1;18:20;1;18:20;4;03:05;4;03:05;4;04:15
S002;134;30.0;199.2;11.15;0;0;0;1;15:00;0.58;0.0;1.58;2.17;12.333333333333334;1;18.0:25.0;2;13.0:32.0;BERÇO ARM 35P2;OUTROS_MACUCO;BERÇO ARM 35P2;1;17:10;1;18:20;1;18:20;2;06:40;2;08:40;2;09:30
S002;135;38.0;333.33;8.6;0;1;0;1;06:25;0.92;0.0;0.0;0.92;11.416666666666666;1;7.0:25.0;1;18.0:50.0;BERÇO OUT 1;CONCAIS;BERÇO OUT 2;1;07:20;1;08:35;1;08:35;1;20:00;1;20:00;1;21:15
S002;136;28.0;186.36;9.0;0;0;0;1;06:00;0.08;0.25;0.0;0.33;12.083333333333334;1;8.0:25.0;1;22.0:30.0;BERÇO TECON 1.1;SANTOSBR;BERÇO TECON 1.1;1;06:20;1;07:30;1;07:30;1;19:35;1;19:40;1;20:30
S002;137;32.0;258.89;9.0;0;0;0;1;01:42;0.0;0.05;-0.05;0.0;1.4166666666666667;1;11.0:17.0;1;21.0:30.0;BERÇO TECON 3;SANTOSBR;BERÇO TECON 1.2;1;01:45;1;02:35;1;02:35;1;04:00;1;04:00;1;05:10
S002;138;32.0;199.9;7.6;0;0;0;1;03:12;1.25;0.0;1.92;3.17;95.0;2;20.0:35.0;7;2.0:47.0;BERÇO TEAG;TEAG;BERÇO TEAG;1;06:25;1;07:30;1;07:30;5;06:30;5;06:30;5;07:15
S002;139;32.0;190.0;11.71;0;0;0;1;17:00;0.08;0.0;0.0;0.08;4.25;1;18.0:10.0;2;3.0:35.0;BERÇO ARM 16/17;TGRAO;BERÇO OUT 3;1;17:05;1;18:20;1;18:20;1;22:35;1;22:35;1;23:30
S002;140;28.0;179.87;8.5;0;0;0;1;08:45;63.25;0.0;0.0;63.25;19.75;5;2.0:48.0;6;9.0:20.00000000000091;BERÇO TIPLAM 1;TIPLAM;BERÇO TIPLAM 1;4;00:00;4;01:55;4;01:55;4;21:40;5;00:00;5;02:25
S002;141;32.31;189.99;9.18;0;0;0;1;07:00;16.67;0.0;0.33;17.0;125.75;1;16.0:45.0;7;6.0:3.0;BERÇO USIMINAS 3;USIMINAS;BERÇO USIMINAS 3;2;00:00;2;01:55;2;01:55;7;07:40;;;;;;
S002;142;38.0;230.0;10.92;0;0;0;2;01:10;0.5;0.0;0.0;0.5;30.25;2;2.0:30.0;3;14.0:40.0;BERÇO ARM 39;ADM;BERÇO ARM 39;2;01:40;2;02:40;2;02:40;3;08:55;3;11:30;3;12:10
S002;143;37.0;228.41;7.42;0;0;0;2;18:24;56.42;0.0;0.0;56.42;68.5;6;19.0:57.0;10;0.0:12.0;BERÇO ARM 20/21;AUTORIDADE_OUT;BERÇO ARM 20/21;5;02:50;5;04:10;5;04:10;8;00:40;;;;;;
S002;144;48.0;299.88;9.8;1;0;0;2;23:50;0.17;0.0;0.42;0.58;11.666666666666666;3;1.0:25.0;4;2.0:55.0;BERÇO BTP 2;BTP;BERÇO BTP 2;3;00:25;3;02:15;3;02:15;3;13:55;3;14:20;3;15:50
S002;145;23.0;164.34;8.0;0;0;0;2;03:00;0.08;0.0;0.42;0.5;25.083333333333332;2;4.0:40.0;3;13.0:30.0;BERÇO DOW;DOW;BERÇO DOW;2;03:30;2;04:10;2;04:10;3;05:15;3;05:15;3;06:15
S002;146;40.0;306.0;12.0;0;0;0;2;12:30;36.58;20.5;0.33;57.42;19.25;3;7.0:22.0;4;11.0:46.0;BERÇO DPW 2;DPW;BERÇO DPW 2;4;21:55;4;23:30;4;23:30;5;18:45;;;;;;
S002;147;36.0;199.99;9.85;0;0;0;2;14:15;3.17;0.0;3.0;6.17;23.916666666666668;2;14.0:35.0;3;18.0:40.000000000000455;BERÇO ARM 35P2;OUTROS_MACUCO;BERÇO ARM 32;2;20:25;2;21:35;2;21:35;3;21:30;3;21:45;3;22:35
S002;149;50.0;305.0;8.6;1;1;0;2;06:00;0.5;0.0;0.0;0.5;10.416666666666666;2;6.0:50.0;2;17.0:15.0;BERÇO ARM 31/32;CONCAIS;BERÇO 25 + FRIG;2;06:30;2;07:50;2;07:50;2;18:15;2;18:15;2;19:35
S002;150;52.0;331.43;8.65;1;1;0;2;06:45;0.08;0.0;0.0;0.08;9.583333333333334;2;7.0:55.0;2;17.0:30.0;BERÇO OUT 1;CONCAIS;BERÇO ARM 31/32;2;06:50;2;08:05;2;08:05;2;17:40;2;17:45;2;19:00
S002;152;40.0;272.08;10.2;0;0;0;2;07:00;0.08;0.0;0.33;0.42;13.75;2;13.0:20.0;3;8.0:28.0;BERÇO TECON 2;SANTOSBR;BERÇO TECON 1.2;2;07:25;2;08:15;2;08:15;2;22:00;2;22:00;2;23:10
S002;153;48.0;333.17;11.4;1;0;0;2;19:30;0.08;0.0;0.42;0.5;22.0;2;20.0:15.0;3;23.0:20.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 3;2;20:00;2;20:55;2;20:55;3;18:55;4;13:00;4;14:15
S002;154;51.0;336.0;14.3;1;0;0;2;09:48;14.17;0.0;0.0;14.17;20.75;4;15.0:15.0;5;17.0:40.0;BERÇO TECON 3;SANTOSBR;BERÇO TECON 2;3;00:00;3;00:55;3;00:55;3;21:40;4;00:30;4;01:45
S002;157;48.0;330.03;14.0;1;0;0;3;05:48;0.05;0.0;0.45;0.5;21.0;3;12.0:26.0;4;14.0:48.0;BERÇO BTP 3;BTP;BERÇO BTP 1;3;06:20;3;07:50;3;07:50;4;04:50;4;05:45;4;07:35
S002;158;26.0;168.03;9.4;0;0;0;3;18:40;29.33;8.17;0.0;37.5;12.583333333333334;6;12.0:55.0;7;5.0:43.0;BERÇO DPW 3;DPW;BERÇO DPW 1;5;08:10;5;09:25;5;09:25;5;22:00;5;22:20;5;23:55
S002;159;43.0;270.9;10.5;0;0;0;3;15:48;3.5;0.75;0.0;4.25;33.166666666666664;4;14.0:49.0;6;2.0:51.0;BERÇO DPW 2;DPW;BERÇO DPW 1;3;20:05;3;21:20;3;21:20;5;06:30;5;06:30;5;08:05
S002;160;32.0;190.0;6.06;0;0;0;3;07:30;17.67;0.0;1.0;18.67;28.916666666666668;5;7.0:30.0;6;19.0:20.0;BERÇO ARM 38;OUTROS_PONTA;BERÇO ARM 38;4;02:10;4;03:10;4;03:10;5;08:05;5;09:10;5;09:50
S002;161;32.0;199.98;11.7;0;0;0;3;20:13;2.33;0.0;0.08;2.42;222.0;3;21.0:5.0;13;18.0:30.0;BERÇO ARM 33;OUTROS_MACUCO;BERÇO ARM 35P2;3;22:40;3;23:30;3;23:30;13;05:30;;;;;;
S002;162;44.0;289.59;8.3;0;1;0;3;06:30;1.0;0.0;0.0;1.0;10.583333333333334;3;7.0:25.0;3;18.0:0.0;BERÇO ARM 25;CONCAIS;BERÇO ARM 25;3;07:30;3;08:45;3;08:45;3;19:20;3;21:10;3;22:25
S002;163;44.0;323.0;8.65;0;1;0;3;07:30;0.08;0.0;0.42;0.5;9.5;3;8.0:15.0;3;17.0:45.0;BERÇO OUT 1;CONCAIS;BERÇO OUT 1;3;08:00;3;09:15;3;09:15;3;18:45;3;18:45;3;20:00
S002;164;44.0;248.97;9.3;0;0;0;3;20:04;2.5;0.0;1.58;4.08;78.66666666666667;3;21.0:28.0;7;11.0:25.0;BERÇO AL 01;TRANSPETRO;BERÇO AL 01;4;00:10;4;02:00;4;02:00;7;08:40;;;;;;
S002;165;30.0;218.45;7.6;0;0;0;3;09:00;0.08;0.0;0.0;0.08;18.333333333333332;3;17.0:0.0;4;14.0:25.0;BERÇO TECON 3;SANTOSBR;BERÇO TECON 1.1;3;09:05;3;09:55;3;09:55;4;04:15;4;04:15;4;05:25
S002;166;45.0;299.9;14.5;0;0;0;3;13:00;0.08;0.0;0.0;0.08;17.833333333333332;3;13.0:55.0;4;17.0:0.0;BERÇO TECON 2;SANTOSBR;BERÇO TECON 1.2;3;13:05;3;13:55;3;13:55;4;07:45;4;07:45;4;08:55
S002;169;48.0;300.07;13.4;1;0;0;4;05:30;16.17;0.0;0.0;16.17;14.583333333333334;4;7.0:20.0;5;2.0:50.0;BERÇO BTP 2;BTP;BERÇO BTP 1;4;21:40;4;23:10;4;23:10;5;13:45;5;14:20;5;16:10
S002;173;30.0;222.14;10.1;0;0;0;4;19:00;0.08;0.0;0.0;0.08;6.5;4;20.0:5.0;5;10.0:3.0;BERÇO TECON 1.1;SANTOSBR;BERÇO TECON 1.2;4;19:05;4;19:55;4;19:55;5;02:25;5;03:35;5;04:45
S002;174;36.0;200.0;10.9;0;0;0;4;05:46;0.0;0.0;0.0;0.0;13.25;4;6.0:40.0;5;8.0:20.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 2;4;05:50;4;06:40;4;06:40;4;19:55;4;19:55;4;21:05
S002;178;32.0;189.99;6.54;0;0;0;5;22:00;0.08;0.0;0.08;0.17;127.16666666666667;5;23.0:40.0;12;0.0:40.00000000000182;BERÇO ARM 39;ADM;BERÇO ARM 39;5;22:10;5;23:10;5;23:10;11;06:20;;;;;;
S002;179;42.0;334.07;10.7;0;0;0;5;07:00;0.08;0.0;4.17;4.25;21.166666666666668;5;9.0:0.0;6;13.0:50.00000000000091;BERÇO BTP 3;BTP;BERÇO BTP 2;5;11:15;5;12:40;5;12:40;6;09:50;;;;;;
S002;180;49.0;299.97;11.0;1;0;0;5;05:00;3.17;0.0;0.25;3.42;20.583333333333332;5;7.0:48.0;6;9.0:24.0;BERÇO BTP 2;BTP;BERÇO BTP 3;5;08:25;5;10:15;5;10:15;6;06:50;;;;;;
S002;181;48.0;328.46;10.7;1;0;0;5;08:42;0.03;0.0;3.8;3.83;27.833333333333332;6;13.0:10.0;8;1.0:43.0;BERÇO BTP 2;BTP;BERÇO BTP 1;5;12:35;5;14:25;5;14:25;6;18:15;;;;;;
S002;184;32.0;189.99;7.62;0;0;0;5;14:11;2.0;0.0;0.17;2.17;46.5;5;14.0:41.0;7;20.0:0.0;BERÇO ARM 31;OUTROS_MACUCO;BERÇO ARM 31;5;16:25;5;17:15;5;17:15;7;15:45;;;;;;
S002;185;29.0;180.0;7.8;0;0;0;5;05:30;0.08;0.0;0.92;1.0;6.333333333333333;5;7.0:0.0;5;20.0:10.0;BERÇO AL 02;TRANSPETRO;BERÇO AL 02;5;06:30;5;08:00;5;08:00;5;14:20;5;14:25;5;16:15
S002;186;48.0;333.2;11.7;1;0;0;5;08:00;0.08;0.0;0.17;0.25;20.583333333333332;5;9.0:0.0;6;12.0:39.99999999999909;BERÇO TECON 2;SANTOSBR;BERÇO TECON 3;5;08:15;5;09:10;5;09:10;6;05:45;;;;;;
S002;188;25.0;160.0;7.5;0;0;0;5;22:00;0.08;0.0;0.0;0.08;28.75;5;23.0:30.0;7;22.0:20.0;BERÇO AL 03;ULTRACARGO;BERÇO AL 03;5;22:05;5;23:55;5;23:55;7;04:40;;;;;;
S002;189;25.0;156.53;7.8;0;0;0;5;03:00;0.08;0.0;0.25;0.33;32.916666666666664;5;7.0:20.0;7;9.0:47.0;BERÇO AL 04;ULTRACARGO;BERÇO AL 04;5;03:20;5;04:50;5;04:50;6;13:45;;;;;;
S002;16;32.0;199.9;6.6;0;0;0;-7;14:00;0.0;0.0;0.0;0.0;33.833333333333336;0;12.0:30.0;2;9.0:50.00000000000023;BERÇO ARM 20/21;AUTORIDADE_OUT;BERÇO ARM 20/21;;;;;;;;;2;12:00;2;13:00
S002;29;32.0;225.0;8.0;0;0;0;-6;03:00;0.0;0.0;0.0;0.0;19.083333333333332;0;21.0:10.0;1;19.0:5.0;BERÇO ARM 32;AUTORIDADE_MACUCO;BERÇO ARM 32;;;;;;;;;1;19:05;1;19:55
S002;45;33.0;224.96;7.0;0;0;0;-6;11:36;0.0;0.0;0.0;0.0;9.083333333333334;-3;1.0:10.0;1;9.0:5.0;BERÇO OUT 3;TGRAO;BERÇO OUT 3;;;;;;;;;1;12:20;1;13:15
S002;72;23.0;142.4;7.0;0;0;0;-3;09:30;0.0;0.0;0.0;0.0;30.166666666666668;-3;13.0:40.0;2;6.0:10.0;BERÇO IB OE;AGEO_TERMINAIS;BERÇO IB OE;;;;;;;;;2;07:55;2;09:35
S002;73;32.0;183.06;11.4;0;0;0;-3;12:00;0.0;0.0;0.0;0.0;15.333333333333334;-2;18.0:45.0;1;15.0:18.0;BERÇO Ageo I;AGEO_TERMINAIS;BERÇO Ageo I;;;;;;;;;1;18:00;1;19:40
S002;81;32.0;204.35;11.6;0;0;0;-3;08:30;0.0;0.0;0.0;0.0;15.083333333333334;-1;17.0:24.0;1;15.0:4.0;BERÇO DPW 4;DPW CELULOSE;BERÇO DPW 4;;;;;;;;;1;15:20;1;16:30
S002;87;51.0;335.93;13.3;1;0;0;-3;21:18;0.0;0.0;0.0;0.0;8.833333333333334;-1;18.0:32.0;1;8.0:50.0;BERÇO TECON 3;SANTOSBR;BERÇO TECON 3;;;;;;;;;1;08:50;1;10:05
S002;91;32.0;186.07;8.2;0;0;0;-2;20:04;0.0;0.0;0.0;0.0;18.666666666666668;-2;21.0:25.0;1;18.0:40.0;BERÇO IB SP;AGEO_TERMINAIS;BERÇO IB SP;;;;;;;;;1;18:40;1;20:20
S002;96;43.0;270.9;10.8;0;0;0;-2;03:00;0.0;0.0;0.0;0.0;33.75;0;14.0:26.0;2;9.0:43.0;BERÇO DPW 1;DPW;BERÇO DPW 1;;;;;;;;;2;09:45;2;11:20
S002;103;32.0;213.88;8.5;0;0;0;-1;07:30;0.0;0.0;0.0;0.0;4.166666666666667;0;8.0:8.0;1;4.0:10.000000000000028;BERÇO VAL;BTP;BERÇO VAL;;;;;;;;;1;04:30;1;06:10
S002;106;32.25;294.1;12.55;0;0;0;-1;17:00;0.0;0.0;0.0;0.0;12.25;0;6.0:13.0;1;12.0:13.0;BERÇO DPW 2;DPW;BERÇO DPW 2;;;;;;;;;1;12:15;1;13:50
S002;110;38.0;229.2;7.9;0;0;0;-1;07:45;0.0;0.0;0.0;0.0;111.25;-1;11.0:40.0;5;15.0:15.0;BERÇO ARM 12A;OUTROS_PAQUETA;BERÇO ARM 12A;;;;;;;;;5;17:20;5;18:25
S002;112;33.0;177.9;8.2;0;0;0;-1;13:20;0.0;0.0;0.0;0.0;109.91666666666667;-1;13.0:30.0;5;13.0:55.0;BERÇO SAIPEM 1;SAIPEM;BERÇO SAIPEM 1;;;;;;;;;5;13:55;5;14:25
S002;113;32.0;231.0;11.5;0;0;0;-1;10:00;0.0;0.0;0.0;0.0;12.0;0;7.0:35.0;1;12.0:0.0;BERÇO TECON 2;SANTOSBR;BERÇO TECON 2;;;;;;;;;1;12:00;1;13:10
S002;115;25.0;182.47;7.6;0;0;0;-1;13:00;0.0;0.0;0.0;0.0;4.916666666666667;-1;13.0:25.0;1;4.0:55.0;BERÇO TECON 1.1;SANTOSBR;BERÇO TECON 1.1;;;;;;;;;1;04:55;1;06:05
S002;117;21.0;134.75;7.9;0;0;0;0;04:23;0.0;0.0;0.0;0.0;37.75;0;5.0:52.0;2;13.0:45.0;BERÇO IB BC;AGEO_TERMINAIS;BERÇO IB BC;;;;;;;;;2;14:00;2;15:40
S002;119;48.0;329.86;12.4;1;0;0;0;00:01;0.0;0.0;0.0;0.0;24.5;0;9.0:49.0;2;0.0:30.0;BERÇO BTP 2;BTP;BERÇO BTP 2;;;;;;;;;2;01:35;2;03:25
S002;122;36.0;199.99;8.65;0;0;0;0;17:30;0.0;0.0;0.0;0.0;38.25;0;20.0:5.0;2;14.0:15.0;BERÇO ARM 34;OUTROS_LIBRA;BERÇO ARM 34;;;;;;;;;2;15:00;2;15:50
S002;124;32.23;183.05;8.8;0;0;0;0;07:45;0.0;0.0;0.0;0.0;45.75;0;12.0:20.0;2;21.0:42.0;BERÇO AL 01;TRANSPETRO;BERÇO AL 01;;;;;;;;;2;21:45;2;23:15
S002;126;19.0;88.8;4.9;0;0;0;0;14:05;0.0;0.0;0.0;0.0;48.5;0;14.0:15.0;3;0.0:30.0;BERÇO SAIPEM 2;SAIPEM;BERÇO SAIPEM 2;;;;;;;;;3;01:00;3;01:30
S002;127;37.0;255.0;10.3;0;0;0;0;05:30;0.0;0.0;0.0;0.0;1.5833333333333333;0;6.0:30.0;1;1.0:35.0;BERÇO TECON 1.2;SANTOSBR;BERÇO TECON 1.2;;;;;;;;;1;02:00;1;03:10
