SCENARIO_ID;DAY;ENTER;EXIT
S014;91;19,00;21,00
S014;92;21,00;18,00
S014;93;16,00;16,00
S014;94;12,00;9,00
S014;95;11,00;20,00
S014;96;17,00;17,00
S014;97;23,00;18,00
S014;98;17,00;14,00
S014;99;17,00;22,00
S014;100;14,00;12,00
S014;101;17,00;14,00
S014;102;14,00;18,00
S014;103;14,00;19,00
S014;104;26,00;17,00
S014;105;14,00;13,00
S014;106;12,00;15,00
S014;107;18,00;18,00
S014;108;14,00;16,00
S014;109;18,00;15,00
S014;110;14,00;9,00
S014;111;23,00;31,00
S014;112;17,00;11,00
S014;113;17,00;24,00
S014;114;13,00;16,00
S014;115;21,00;15,00
S014;116;16,00;17,00
S014;117;14,00;16,00
S014;118;22,00;17,00
S014;119;9,00;11,00
S014;120;24,00;21,00
S014;121;8,00;10,00
S014;122;18,00;14,00
S014;123;14,00;15,00
S014;124;20,00;23,00
S014;125;18,00;19,00
S014;126;20,00;24,00
S014;127;16,00;16,00
S014;128;17,00;17,00
S014;129;18,00;18,00
S014;130;16,00;19,00
S014;131;15,00;13,00
S014;132;20,00;19,00
S014;133;6,00;2,00
S014;134;6,00;18,00
S014;135;28,00;10,00
S014;136;26,00;28,00
S014;137;14,00;18,00
S014;138;18,00;19,00
S014;139;18,00;18,00
S014;140;11,00;13,00
S014;141;9,00;16,00
S014;142;29,00;17,00
S014;143;18,00;20,00
S014;144;18,00;24,00
S014;145;20,00;15,00
S014;146;24,00;22,00
S014;147;11,00;17,00
S014;148;25,00;20,00
S014;149;17,00;20,00
S014;150;2,00;7,00
S014;151;23,00;11,00
S014;152;19,00;16,00
S014;153;7,00;15,00
S014;154;25,00;15,00
S014;155;23,00;24,00
S014;156;18,00;25,00
S014;157;16,00;12,00
S014;158;18,00;27,00
S014;159;17,00;12,00
S014;160;20,00;25,00
S014;161;23,00;19,00
S014;162;19,00;17,00
S014;163;13,00;16,00
S014;164;17,00;15,00
S014;165;7,00;12,00
S014;166;19,00;9,00
S014;167;30,00;25,00
S014;168;15,00;22,00
S014;169;24,00;20,00
S014;170;13,00;16,00
S014;171;16,00;14,00
S014;172;10,00;8,00
S014;173;18,00;16,00
S014;174;10,00;12,00
S014;175;5,00;13,00
S014;176;20,00;14,00
S014;177;20,00;25,00
S014;178;21,00;19,00
S014;179;17,00;21,00
S014;180;23,00;17,00
S014;181;11,00;17,00
S014;182;6,00;6,00
S014;183;37,00;26,00
S014;184;14,00;13,00
S014;185;20,00;26,00
S014;186;29,00;26,00
S014;187;13,00;18,00
S014;188;18,00;21,00
S014;189;23,00;20,00
S014;190;19,00;22,00
S014;191;15,00;13,00
S014;192;20,00;20,00
S014;193;20,00;23,00
S014;194;20,00;14,00
S014;195;25,00;22,00
S014;196;12,00;17,00
S014;197;20,00;23,00
S014;198;18,00;14,00
S014;199;22,00;18,00
S014;200;4,00;16,00
S014;201;0,00;0,00
S014;202;0,00;0,00
S014;203;3,00;19,00
S014;204;40,00;12,00
S014;205;15,00;17,00
S014;206;21,00;21,00
S014;207;29,00;24,00
S014;208;19,00;23,00
S014;209;20,00;18,00
S014;210;14,00;18,00
S014;211;18,00;22,00
S014;212;21,00;15,00
S014;213;19,00;17,00
S014;214;17,00;19,00
S014;215;16,00;15,00
S014;216;21,00;25,00
S014;217;15,00;17,00
S014;218;27,00;21,00
S014;219;10,00;16,00
S014;220;24,00;26,00
S014;221;21,00;20,00
S014;222;25,00;20,00
S014;223;16,00;19,00
S014;224;19,00;22,00
S014;225;17,00;18,00
S014;226;14,00;15,00
S014;227;3,00;0,00
S014;228;28,00;23,00
S014;229;13,00;12,00
S014;230;20,00;19,00
S014;231;12,00;20,00
S014;232;23,00;16,00
S014;233;15,00;18,00
S014;234;21,00;18,00
S014;235;16,00;20,00
S014;236;21,00;25,00
S014;237;21,00;13,00
S014;238;19,00;22,00
S014;239;12,00;15,00
S014;240;6,00;3,00
S014;241;18,00;25,00
S014;242;11,00;4,00
S014;243;29,00;26,00
S014;244;8,00;18,00
S014;245;22,00;16,00
S014;246;11,00;13,00
S014;247;13,00;17,00
S014;248;26,00;17,00
S014;249;9,00;11,00
S014;250;9,00;15,00
S014;251;1,00;16,00
S014;252;37,00;9,00
S014;253;19,00;27,00
S014;254;24,00;24,00
S014;255;16,00;17,00
S014;256;22,00;19,00
S014;257;10,00;14,00
S014;258;23,00;14,00
S014;259;6,00;5,00
S014;260;14,00;24,00
S014;261;22,00;20,00
S014;262;18,00;18,00
S014;263;20,00;11,00
S014;264;23,00;28,00
S014;265;20,00;20,00
S014;266;17,00;17,00
S014;267;19,00;24,00
S014;268;14,00;17,00
S014;269;16,00;17,00
S014;270;1,00;1,00
S014;271;16,00;15,00
S014;272;4,00;6,00
S014;273;25,00;13,00
S014;274;22,00;22,00
S014;275;17,00;21,00
S014;276;13,00;14,00
S014;277;17,00;23,00
S014;278;14,00;11,00
S014;279;24,00;22,00
S014;280;18,00;19,00
S014;281;21,00;18,00
S014;282;10,00;13,00
S014;283;1,00;1,00
S014;284;13,00;14,00
S014;285;22,00;19,00
S014;286;19,00;15,00
S014;287;13,00;17,00
S014;288;29,00;23,00
S014;289;15,00;16,00
S014;290;15,00;18,00
S014;291;22,00;23,00
S014;292;19,00;16,00
S014;293;12,00;13,00
S014;294;22,00;21,00
S014;295;19,00;19,00
S014;296;19,00;19,00
S014;297;25,00;25,00
S014;298;14,00;18,00
S014;299;21,00;15,00
S014;300;20,00;19,00
S014;301;5,00;5,00
S014;302;24,00;28,00
S014;303;16,00;15,00
S014;304;12,00;15,00
S014;305;18,00;18,00
S014;306;14,00;20,00
S014;307;20,00;13,00
S014;308;19,00;20,00
S014;309;17,00;19,00
S014;310;13,00;16,00
S014;311;21,00;16,00
S014;312;18,00;18,00
S014;313;24,00;21,00
S014;314;12,00;18,00
S014;315;11,00;9,00
S014;316;20,00;26,00
S014;317;16,00;15,00
S014;318;17,00;16,00
S014;319;13,00;13,00
S014;320;19,00;19,00
S014;321;17,00;18,00
S014;322;23,00;30,00
S014;323;25,00;19,00
S014;324;17,00;19,00
S014;325;11,00;11,00
