SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S014;130;48.0;299.99;11.3;0;0;0;1;00:45;3.42;11.0;8.58;23.0;0.0;0.0;0.0;16.5;2;04:25;2;22:13;BERÇO BTP 2;BTP;CGC;BERÇO BTP 2;1;23:45;2;01:10;2;01:10;2;17:40;2;17:40;2;19:25
S014;131;32.0;225.0;9.25;0;0;0;1;01:10;2.75;0.0;3.75;6.5;2.0;1.17;3.17;60.833333333333336;1;09:00;3;23:36;BERÇO DPW 3;DPW - CGNC;CGNC;BERÇO DPW 3;1;07:40;1;09:10;1;09:10;3;22:00;4;01:10;4;02:20
S014;132;32.0;258.89;9.0;0;0;0;1;01:42;2.17;0.0;0.0;2.17;0.0;0.42;0.42;2.8333333333333335;1;11:17;1;21:30;BERÇO TECON 3;SANTOSBR;CGC;BERÇO TECON 1.2;1;03:55;1;04:45;1;04:45;1;07:35;1;08:00;1;09:10
S014;133;32.0;199.9;7.6;0;0;0;1;03:12;1.0;0.0;2.75;3.75;1.83;0.0;1.83;98.58333333333333;2;20:35;7;02:47;BERÇO TEAG;TEAG;GSA - E;BERÇO TEAG;1;07:00;1;08:05;1;08:05;5;10:40;5;12:30;5;13:15
S014;134;28.0;186.36;9.0;0;0;0;1;06:00;0.0;0.92;0.0;0.92;0.0;0.0;0.0;13.333333333333334;1;08:25;1;22:30;BERÇO TECON 1.1;SANTOSBR;CGC;BERÇO TECON 1.2;1;06:55;1;08:05;1;08:05;1;21:25;1;21:25;1;22:15
S014;135;38.0;333.33;8.6;0;1;0;1;06:25;0.0;0.0;0.08;0.08;0.0;0.0;0.0;11.416666666666666;1;07:25;1;18:50;BERÇO OUT 1;CONCAIS;PASSAGEIROS;BERÇO OUT 1;1;06:30;1;07:45;1;07:45;1;19:10;1;19:10;1;20:05
S014;136;32.31;189.99;9.18;0;0;0;1;07:00;13.5;0.0;1.0;14.5;0.0;0.17;0.17;128.66666666666666;1;16:45;7;06:03;BERÇO USIMINAS 3;USIMINAS;GSM - E;BERÇO USIMINAS 3;1;21:30;1;23:25;1;23:25;7;08:05;7;08:15;7;10:30
S014;137;28.0;179.87;8.5;0;0;0;1;08:45;63.25;0.0;0.0;63.25;0.0;3.83;3.83;25.75;5;02:48;6;09:20;BERÇO TIPLAM 1;TIPLAM - GL;GL;BERÇO TIPLAM 1;4;00:00;4;01:55;4;01:55;5;03:40;5;07:30;5;09:55
S014;138;32.0;231.0;12.0;0;0;0;1;13:54;0.42;10.08;20.08;30.58;0.0;0.0;0.0;15.25;2;13:42;3;08:24;BERÇO DPW 1;DPW - CGC;CGC;BERÇO DPW 1;2;20:30;2;21:45;2;21:45;3;13:00;3;13:00;3;14:35
S014;139;30.0;199.2;11.15;0;0;0;1;15:00;0.0;0.0;1.33;1.33;3.0;0.0;3.0;13.666666666666666;1;18:25;2;13:32;BERÇO ARM 35P2;OUTROS_MACUCO;CGNC;BERÇO ARM 33;1;16:20;1;17:30;1;17:30;2;07:10;2;10:10;2;11:00
S014;140;32.0;199.98;6.48;0;0;0;1;15:36;104.33;0.0;0.17;104.5;0.0;0.0;0.0;75.5;7;19:05;11;02:10;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;BERÇO ARM 37;6;00:10;6;01:10;6;01:10;9;04:40;9;04:40;9;05:20
S014;141;32.0;190.0;11.71;0;0;0;1;17:00;0.0;0.0;0.42;0.42;0.0;0.92;0.92;5.083333333333333;1;18:10;2;03:35;BERÇO ARM 16/17;TGRAO;GSA - E;BERÇO OUT 3;1;17:25;1;18:40;1;18:40;1;23:45;2;00:40;2;01:35
S014;142;38.0;230.0;10.92;0;0;0;2;01:10;1.17;0.0;0.42;1.58;11.75;1.42;13.17;32.5;2;02:30;3;14:40;BERÇO ARM 39;ADM;GSA - E;BERÇO ARM 39;2;02:45;2;03:45;2;03:45;3;12:15;4;01:25;4;02:05
S014;143;23.0;164.34;8.0;0;0;0;2;03:00;0.0;0.0;1.75;1.75;0.0;0.0;0.0;27.166666666666668;2;04:40;3;13:30;BERÇO DOW;DOW;GL;BERÇO DOW;2;04:45;2;05:25;2;05:25;3;08:35;3;08:35;3;09:35
S014;144;50.0;305.0;8.6;0;1;0;2;06:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.416666666666666;2;06:50;2;17:15;BERÇO ARM 31/32;CONCAIS;PASSAGEIROS;BERÇO 25 + FRIG;2;06:00;2;07:15;2;07:15;2;17:40;2;17:40;2;18:55
S014;145;52.0;331.43;8.65;0;1;0;2;06:45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.583333333333334;2;07:55;2;17:30;BERÇO OUT 1;CONCAIS;PASSAGEIROS;BERÇO ARM 31/32;2;06:45;2;07:55;2;07:55;2;17:30;2;17:30;2;18:40
S014;146;40.0;272.08;10.2;0;0;0;2;07:00;0.0;0.0;0.25;0.25;0.0;0.92;0.92;15.75;2;13:20;3;08:28;BERÇO TECON 2;SANTOSBR;CGC;BERÇO TECON 2;2;07:15;2;08:05;2;08:05;2;23:50;3;00:45;3;01:55
S014;147;51.0;336.0;14.3;0;0;0;2;09:48;14.0;0.17;0.0;14.17;0.0;0.0;0.0;24.833333333333332;4;15:15;5;17:40;BERÇO TECON 3;SANTOSBR;CGC;BERÇO TECON 2;3;00:00;3;00:50;3;00:50;4;01:40;4;01:40;4;02:50
S014;148;40.0;306.0;12.0;0;0;0;2;12:30;13.17;11.58;24.0;48.75;1.25;0.0;1.25;20.416666666666668;3;07:22;4;11:46;BERÇO DPW 2;DPW - CGC;CGC;BERÇO DPW 2;4;13:15;4;14:50;4;14:50;5;11:15;5;12:30;5;13:45
S014;149;36.0;199.99;9.85;0;0;0;2;14:15;0.0;0.0;0.08;0.08;0.0;0.0;0.0;25.75;2;14:35;3;18:40;BERÇO ARM 35P2;OUTROS_MACUCO;CGNC;BERÇO ARM 33;2;14:20;2;15:30;2;15:30;3;17:15;3;17:15;3;18:05
S014;150;32.06;179.89;8.0;0;0;0;2;14:30;1041.5;0.0;3.75;1045.25;0.0;1.17;1.17;62.25;47;06:06;49;23:42;BERÇO TIPLAM 4;TIPLAM - GSM - I;GSM - I;BERÇO TIPLAM 1;46;03:45;46;05:40;46;05:40;48;19:55;48;21:05;48;23:30
S014;151;28.0;183.2;8.5;0;0;0;2;16:00;176.0;0.0;0.92;176.92;0.0;3.83;3.83;24.916666666666668;11;20:54;13;01:50;BERÇO AL 02;TRANSPETRO;GL;BERÇO AL 02;10;00:55;10;02:45;10;02:45;11;03:40;11;07:30;11;09:00
S014;152;32.0;180.0;7.4;0;0;0;2;18:00;174.0;0.33;0.0;174.33;0.0;1.75;1.75;147.91666666666666;11;07:09;17;16:42;BERÇO ARM 34;OUTROS_LIBRA;CGNC;BERÇO ARM 34;10;00:20;10;01:30;10;01:30;16;05:25;16;07:10;16;08:00
S014;153;37.0;228.41;7.42;0;0;0;2;18:24;53.58;0.0;0.0;53.58;0.0;5.17;5.17;72.91666666666667;6;19:57;10;00:12;BERÇO ARM 20/21;AUTORIDADE_OUT;CGNC;BERÇO ARM 20/21;5;00:00;5;01:20;5;01:20;8;02:15;8;07:25;8;08:25
S014;154;48.0;333.17;11.4;0;0;0;2;19:30;0.0;0.0;0.75;0.75;0.0;0.0;0.0;24.083333333333332;2;20:15;3;23:20;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 1.2;2;20:15;2;21:05;2;21:05;3;21:10;3;21:10;3;22:20
S014;155;48.0;299.88;9.8;0;0;0;2;23:50;0.0;0.0;0.0;0.0;0.0;1.33;1.33;14.0;3;01:25;4;02:55;BERÇO BTP 2;BTP;CGC;BERÇO BTP 2;2;23:50;3;01:35;3;01:35;3;15:35;3;16:55;3;18:20
S014;156;48.0;330.03;14.0;0;0;0;3;05:48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.25;3;12:26;4;14:48;BERÇO BTP 3;BTP;CGC;BERÇO BTP 1;3;05:50;3;07:15;3;07:15;4;06:30;4;06:30;4;08:15
S014;157;44.0;289.59;8.3;0;1;0;3;06:30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.583333333333334;3;07:25;3;18:00;BERÇO ARM 25;CONCAIS;PASSAGEIROS;BERÇO 25 + FRIG;3;06:30;3;07:45;3;07:45;3;18:20;3;18:20;3;19:35
S014;158;32.0;190.0;6.06;0;0;0;3;07:30;16.5;0.0;0.33;16.83;0.0;0.0;0.0;31.083333333333332;5;07:30;6;19:20;BERÇO ARM 38;OUTROS_PONTA;CGNC;BERÇO ARM 38;4;00:20;4;01:20;4;01:20;5;08:25;5;08:25;5;09:05
S014;159;44.0;323.0;8.65;0;1;0;3;07:30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;3;08:15;3;17:45;BERÇO OUT 1;CONCAIS;PASSAGEIROS;BERÇO ARM 31/32;3;07:30;3;08:40;3;08:40;3;18:10;3;18:10;3;19:20
S014;160;30.0;218.45;7.6;0;0;0;3;09:00;0.0;0.0;0.67;0.67;0.0;0.0;0.0;19.583333333333332;3;17:00;4;14:25;BERÇO TECON 3;SANTOSBR;CGC;BERÇO TECON 3;3;09:40;3;10:30;3;10:30;4;06:05;4;06:05;4;07:15
S014;161;32.0;229.0;6.8;0;0;0;3;11:00;108.33;0.0;0.67;109.0;0.0;0.0;0.0;59.916666666666664;9;21:55;12;13:45;BERÇO ARM 19;TGRAO;GSA - E;BERÇO OUT 3;8;00:00;8;01:15;8;01:15;10;13:10;10;13:10;10;14:05
S014;162;45.0;299.9;14.5;0;0;0;3;13:00;11.0;0.0;0.25;11.25;0.0;0.0;0.0;23.333333333333332;3;13:55;4;17:00;BERÇO TECON 2;SANTOSBR;CGC;BERÇO TECON 1.2;4;00:15;4;01:05;4;01:05;5;00:25;5;00:25;5;01:35
S014;163;43.0;270.9;10.5;0;0;0;3;15:48;0.0;0.0;0.0;0.0;0.0;4.0;4.0;34.666666666666664;4;14:49;6;02:51;BERÇO DPW 2;DPW - CGC;CGC;BERÇO DPW 1;3;15:50;3;17:05;3;17:05;5;03:45;5;07:45;5;09:20
S014;164;27.0;170.7;9.81;0;0;0;3;17:00;79.0;21.92;0.0;100.92;0.0;1.08;1.08;127.91666666666667;8;14:40;14;03:40;BERÇO ARM 30;BRACELL;CGNC;BERÇO ARM 35P1;7;21:55;7;22:40;7;22:40;13;06:35;13;07:40;13;08:45
S014;165;26.0;168.03;9.4;0;0;0;3;18:40;29.33;6.58;0.0;35.92;0.0;1.0;1.0;13.5;6;12:55;7;05:43;BERÇO DPW 3;DPW - CGC;CGC;BERÇO DPW 1;5;06:35;5;07:50;5;07:50;5;21:20;5;22:20;5;23:55
S014;166;44.0;248.97;9.3;0;0;0;3;20:04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.58333333333333;3;21:28;7;11:25;BERÇO AL 01;TRANSPETRO;GL;BERÇO AL 01;3;20:05;3;21:55;3;21:55;7;05:30;7;05:30;7;07:00
S014;167;32.0;199.98;11.7;0;0;0;3;20:13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;233.91666666666666;3;21:05;13;18:30;BERÇO ARM 33;OUTROS_MACUCO;CGNC;BERÇO ARM 35P2;3;20:15;3;21:05;3;21:05;13;15:00;13;15:00;13;16:10
S014;168;32.0;225.0;8.5;0;0;0;4;02:37;18.58;172.0;39.0;229.58;3.25;1.5;4.75;87.33333333333333;4;03:20;8;01:40;BERÇO ARM 35P2;OUTROS_MACUCO;CGNC;BERÇO ARM 35P2;13;16:15;13;17:25;13;17:25;17;08:45;17;13:30;17;14:20
S014;169;48.0;300.07;13.4;0;0;0;4;05:30;7.5;0.0;0.08;7.58;0.0;0.33;0.33;17.083333333333332;4;07:20;5;02:50;BERÇO BTP 2;BTP;CGC;BERÇO BTP 1;4;13:05;4;14:30;4;14:30;5;07:35;5;07:55;5;09:40
S014;170;32.2;225.0;7.24;0;0;0;4;05:30;42.5;0.0;0.08;42.58;1.58;0.0;1.58;132.41666666666666;7;06:00;12;22:55;BERÇO TEAG;TEAG;GSA - E;BERÇO TEAG;6;00:05;6;01:10;6;01:10;11;13:35;11;15:10;11;15:55
S014;171;36.0;200.0;10.9;0;0;0;4;05:46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.333333333333332;4;06:40;5;08:20;BERÇO TECON 1.2;SANTOSBR;CGC;BERÇO TECON 2;4;05:50;4;06:40;4;06:40;5;03:00;5;03:00;5;04:10
S014;172;32.0;229.0;6.67;0;0;0;4;10:18;349.67;0.0;0.42;350.08;0.0;1.92;1.92;168.25;20;03:15;27;11:10;BERÇO ARM 19;TGRAO;GSA - E;BERÇO OUT 2;19;00:25;19;01:40;19;01:40;26;01:55;26;03:50;26;04:45
S014;173;32.0;182.5;9.5;0;0;0;4;15:00;42.75;21.33;0.0;64.08;0.0;0.0;0.0;26.333333333333332;7;15:10;8;23:00;BERÇO AL 01;TRANSPETRO;GL;BERÇO AL 01;7;07:05;7;08:55;7;08:55;8;11:15;8;11:15;8;12:45
S014;174;32.0;179.95;6.65;0;0;0;4;17:00;175.0;0.0;0.17;175.17;0.08;0.0;0.08;156.58333333333334;13;00:45;19;18:15;BERÇO TEAG;TEAG;GSA - E;BERÇO TEAG;12;00:10;12;01:15;12;01:15;18;13:50;18;13:55;18;14:40
S014;175;30.0;222.14;10.1;0;0;0;4;19:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.75;4;20:05;5;10:03;BERÇO TECON 1.1;SANTOSBR;CGC;BERÇO TECON 3;4;19:00;4;19:50;4;19:50;5;07:35;5;07:35;5;08:45
S014;176;43.0;254.95;8.1;0;0;0;4;20:42;153.75;13.42;0.0;167.17;0.0;0.0;0.0;114.41666666666667;12;03:00;17;09:15;BERÇO ARM 39;ADM;GSA - E;BERÇO ARM 39;11;19:55;11;20:55;11;20:55;16;15:20;16;15:20;16;16:00
S014;177;48.0;299.95;8.9;0;0;0;4;22:36;25.33;7.0;0.0;32.33;0.0;0.0;0.0;20.666666666666668;7;17:50;8;15:42;BERÇO BTP 3;BTP;CGC;BERÇO BTP 2;6;07:00;6;08:45;6;08:45;7;05:25;7;05:25;7;06:50
S014;178;25.0;156.53;7.8;0;0;0;5;03:00;0.0;0.0;0.42;0.42;1.83;0.0;1.83;36.666666666666664;5;07:20;7;09:47;BERÇO AL 04;ULTRACARGO;GL;BERÇO AL 03;5;03:25;5;04:55;5;04:55;6;17:35;6;19:25;6;21:15
S014;179;49.0;299.97;11.0;0;0;0;5;05:00;0.0;0.0;0.0;0.0;0.0;3.42;3.42;22.416666666666668;5;07:48;6;09:24;BERÇO BTP 2;BTP;CGC;BERÇO BTP 2;5;05:00;5;06:45;5;06:45;6;05:10;6;08:35;6;10:00
S014;180;29.0;180.0;7.8;0;0;0;5;05:30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.166666666666666;5;07:00;5;20:10;BERÇO AL 02;TRANSPETRO;GL;BERÇO AL 02;5;05:30;5;07:00;5;07:00;5;16:10;5;16:10;5;18:00
S014;181;42.0;334.07;10.7;0;0;0;5;07:00;0.0;0.0;0.08;0.08;5.08;0.0;5.08;23.75;5;09:00;6;13:50;BERÇO BTP 3;BTP;CGC;BERÇO BTP 3;5;07:05;5;08:30;5;08:30;6;08:15;6;13:20;6;15:05
S014;182;48.0;333.2;11.7;0;0;0;5;08:00;0.0;0.0;2.08;2.08;0.0;0.0;0.0;22.416666666666668;5;09:00;6;12:39;BERÇO TECON 2;SANTOSBR;CGC;BERÇO TECON 1.2;5;10:05;5;10:55;5;10:55;6;09:20;6;09:20;6;10:30
S014;183;48.0;328.46;10.7;0;0;0;5;08:42;0.0;1.25;0.0;1.25;0.0;0.17;0.17;31.75;6;13:10;8;01:43;BERÇO BTP 2;BTP;CGC;BERÇO BTP 1;5;10:00;5;11:45;5;11:45;6;19:30;6;19:40;6;21:05
S014;184;30.0;208.85;10.3;0;0;0;5;09:54;0.0;1.08;0.0;1.08;0.0;0.0;0.0;13.25;5;22:35;6;17:04;BERÇO DPW 1;DPW - CGC;CGC;BERÇO DPW 2;5;11:00;5;12:35;5;12:35;6;01:50;6;01:50;6;03:05
S014;185;32.0;189.99;7.62;0;0;0;5;14:11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.833333333333336;5;14:41;7;20:00;BERÇO ARM 31;OUTROS_MACUCO;CGNC;BERÇO ARM 31;5;14:15;5;15:05;5;15:05;7;17:55;7;17:55;7;19:05
S014;186;42.0;333.99;9.7;0;0;0;5;15:00;82.67;0.0;0.0;82.67;0.0;0.08;0.08;33.25;10;21:45;12;10:16;BERÇO DPW 2;DPW - CGC;CGC;BERÇO DPW 1;9;01:40;9;02:55;9;02:55;10;12:10;10;12:15;10;13:50
S014;187;32.0;189.99;6.54;0;0;0;5;22:00;0.0;0.0;0.08;0.08;0.0;0.42;0.42;138.83333333333334;5;23:40;12;00:40;BERÇO ARM 39;ADM;GSA - E;BERÇO ARM 39;5;22:05;5;23:05;5;23:05;11;17:55;11;18:20;11;19:00
S014;188;25.0;160.0;7.5;0;0;0;5;22:00;0.0;0.0;0.0;0.0;0.0;0.25;0.25;44.0;5;23:30;7;22:20;BERÇO AL 03;ULTRACARGO;GL;BERÇO AL 02;5;22:00;5;23:50;5;23:50;7;19:50;7;20:05;7;21:35
S014;189;32.0;228.99;6.6;0;0;0;5;23:12;0.0;0.0;1.42;1.42;0.0;0.0;0.0;86.08333333333333;6;16:55;10;13:17;BERÇO TGG;TGG;GSA - E;BERÇO TGG;6;00:40;6;01:45;6;01:45;9;15:50;9;15:50;9;16:35
