SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S20254;100;43.0;346.98;9.8;1;0;0;-2;23:06;57.92;3.33;0.0;61.25;0.17;0.0;0.17;11.333333333333334;1;15:10;2;08:39;BERÇO TECON 2;SANTOSBR;CGC;;BERÇO TECON 2;1;12:25;1;13:25;1;13:25;2;00:45;2;00:55;2;02:10
S20254;103;48.0;328.46;14.5;0;0;0;-1;05:06;42.83;0.0;0.25;43.08;0.0;6.58;6.58;30.416666666666668;1;02:40;2;09:45;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 1;1;00:15;1;01:45;1;01:45;2;08:10;2;14:45;2;16:30
S20254;107;28.0;179.99;9.33;0;0;0;-1;09:00;39.0;0.0;0.5;39.5;0.0;4.33;4.33;168.25;1;21:10;8;23:40;BERÇO CS 03;OUTROS_SABOO;CGNC;;BERÇO CS 01;1;00:30;1;01:55;1;01:55;8;02:10;8;06:30;8;08:10
S20254;109;32.0;189.99;6.25;0;0;0;-1;10:06;61.83;12.67;0.0;74.5;0.0;0.0;0.0;38.5;3;14:50;5;09:15;BERÇO ARM 20/21;AUTORIDADE_OUT;CGNC;;BERÇO ARM 20/21;2;12:40;2;14:05;2;14:05;4;04:35;4;04:35;4;05:35
S20254;110;30.0;199.08;7.5;0;0;0;-1;12:55;107.08;0.0;0.25;107.33;0.0;0.42;0.42;92.5;5;23:15;9;22:10;BERÇO ARM 23;OUTROS_OUT;CGNC;;BERÇO ARM 23;4;00:15;4;01:15;4;01:15;7;21:45;7;22:10;7;23:25
S20254;114;24.0;146.6;5.8;0;0;0;-1;19:54;148.08;19.92;0.0;168.0;0.0;1.0;1.0;23.333333333333332;7;14:28;8;22:00;BERÇO AL 04;STOLTHAVEN;GL;;BERÇO AL 03;6;19:55;6;21:50;6;21:50;7;21:10;7;22:10;7;23:40
S20254;115;35.0;228.95;7.3;0;0;0;-1;21:00;243.17;0.0;1.83;245.0;0.0;0.0;0.0;48.583333333333336;11;04:25;13;10:05;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;;BERÇO ARM 37;10;02:00;10;03:05;10;03:05;12;03:40;;;;;;
S20254;116;45.86;334.8;13.9;0;0;0;-1;23:36;24.33;11.83;0.0;36.17;0.0;0.25;0.25;36.0;1;15:07;3;04:14;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 2;1;11:50;1;13:10;1;13:10;3;01:10;3;01:25;3;03:00
S20254;118;40.0;284.71;10.1;0;0;0;0;04:12;163.75;9.42;0.0;173.17;0.0;0.0;0.0;20.5;8;21:25;9;18:37;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 1;7;09:25;7;10:45;7;10:45;8;07:15;8;07:15;8;08:50
S20254;122;27.4;183.98;7.4;0;0;0;0;06:06;185.83;0.0;0.33;186.17;0.0;2.75;2.75;35.666666666666664;9;15:15;11;19:19;BERÇO AL 02;TRANSPETRO;GL;;BERÇO AL 02;8;00:20;8;02:15;8;02:15;9;13:55;9;16:40;9;18:10
S20254;125;51.0;336.0;10.8;0;0;0;0;15:00;9.0;8.75;0.0;17.75;0.0;0.75;0.75;34.916666666666664;2;00:55;3;14:55;BERÇO TECON 3;SANTOSBR;CGC;;BERÇO TECON 3;1;08:45;1;10:00;1;10:00;2;20:55;2;21:40;2;22:30
S20254;128;46.0;334.8;10.1;0;0;0;0;19:12;50.83;1.92;0.33;53.08;4.42;1.0;5.42;31.916666666666668;4;10:00;5;19:10;BERÇO DPW 1;DPW - CGC;CGC;;BERÇO DPW 2;3;00:20;3;02:00;3;02:00;4;09:55;4;15:20;4;16:35
S20254;129;45.0;299.9;10.1;0;0;0;0;20:54;3.08;19.17;2.58;24.83;0.0;0.0;0.0;18.166666666666668;2;13:20;3;08:57;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 3;1;21:45;1;23:15;1;23:15;2;17:25;2;17:25;2;19:10
S20254;130;48.0;299.99;11.3;0;0;0;1;00:45;0.0;0.0;0.33;0.33;0.0;0.0;0.0;17.25;2;04:25;2;22:13;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 3;1;01:05;1;02:35;1;02:35;1;19:50;1;19:50;1;21:35
S20254;131;32.0;225.0;9.25;0;0;0;1;01:10;0.0;0.0;0.17;0.17;0.0;0.33;0.33;61.583333333333336;1;09:00;3;23:36;BERÇO DPW 3;DPW - CGNC;CGNC;;BERÇO DPW 3;1;01:20;1;02:55;1;02:55;3;16:30;3;16:50;3;18:00
S20254;132;32.0;258.89;9.0;0;0;0;1;01:42;0.0;0.0;0.0;0.0;0.0;3.92;3.92;3.5833333333333335;1;11:17;1;21:30;BERÇO TECON 3;SANTOSBR;CGC;;BERÇO TECON 1.2;1;01:45;1;02:40;1;02:40;1;06:15;1;10:10;1;11:20
S20254;133;32.0;199.9;7.6;0;0;0;1;03:12;0.33;0.0;0.0;0.33;4.42;0.08;4.5;99.33333333333333;2;20:35;7;02:47;BERÇO TEAG;TEAG;GSA - E;;BERÇO TEAG;1;03:35;1;04:45;1;04:45;5;08:05;5;12:35;5;13:20
S20254;134;28.0;186.36;9.0;0;0;0;1;06:00;0.0;12.58;0.0;12.58;0.0;0.58;0.58;14.083333333333334;1;08:25;1;22:30;BERÇO TECON 1.1;SANTOSBR;CGC;;BERÇO TECON 1.1;1;18:35;1;19:50;1;19:50;2;09:55;2;10:30;2;11:20
S20254;135;38.0;333.33;8.6;0;1;0;1;06:25;0.0;0.0;0.25;0.25;0.0;0.0;0.0;12.166666666666666;1;07:25;1;18:50;BERÇO OUT 1;CONCAIS;PASSAGEIROS;;BERÇO OUT 2;1;06:40;1;08:00;1;08:00;1;20:10;1;20:10;1;21:05
S20254;136;32.31;189.99;9.18;0;0;0;1;07:00;17.0;0.0;0.0;17.0;0.0;0.0;0.0;129.41666666666666;1;16:45;7;06:03;BERÇO USIMINAS 3;USIMINAS;GSM - E;;BERÇO USIMINAS 3;2;00:00;2;02:00;2;02:00;7;11:25;7;11:25;7;13:40
S20254;137;28.0;179.87;8.5;0;0;0;1;08:45;63.25;0.0;0.0;63.25;0.0;1.92;1.92;26.5;5;02:48;6;09:20;BERÇO TIPLAM 1;TIPLAM - GL;GL;;BERÇO TIPLAM 1;4;00:00;4;02:00;4;02:00;5;04:30;5;06:25;5;08:50
S20254;138;32.0;231.0;12.0;0;0;0;1;13:54;1.33;29.58;0.0;30.92;0.0;0.0;0.0;16.0;2;13:42;3;08:24;BERÇO DPW 1;DPW - CGC;CGC;;BERÇO DPW 1;2;20:50;2;22:10;2;22:10;3;14:10;3;14:10;3;15:45
S20254;139;30.0;199.2;11.15;0;0;0;1;15:00;0.0;0.0;0.0;0.0;0.0;3.42;3.42;14.416666666666666;1;18:25;2;13:32;BERÇO ARM 35P2;OUTROS_MACUCO;CGNC;;BERÇO ARM 35P1;1;15:00;1;16:10;1;16:10;2;06:35;2;10:00;2;10:45
S20254;140;32.0;199.98;6.48;0;0;0;1;15:36;104.33;0.0;0.92;105.25;0.0;0.67;0.67;76.25;7;19:05;11;02:10;BERÇO ARM 37;AUTORIDADE_PONTA;CGNC;;BERÇO ARM 37;6;00:55;6;02:00;6;02:00;9;06:15;9;06:55;9;07:35
S20254;141;32.0;190.0;11.71;0;0;0;1;17:00;0.0;0.0;1.33;1.33;0.0;2.25;2.25;5.833333333333333;1;18:10;2;03:35;BERÇO ARM 16/17;TGRAO;GSA - E;;BERÇO OUT 3;1;18:20;1;19:40;1;19:40;2;01:30;2;03:45;2;04:40
S20254;142;38.0;230.0;10.92;0;0;0;2;01:10;0.17;0.0;1.17;1.33;0.0;0.83;0.83;33.25;2;02:30;3;14:40;BERÇO ARM 39;ADM;GSA - E;;BERÇO ARM 39;2;02:30;2;03:35;2;03:35;3;12:50;3;13:40;3;14:20
S20254;143;23.0;164.34;8.0;0;0;0;2;03:00;0.0;0.0;0.25;0.25;0.0;1.75;1.75;27.916666666666668;2;04:40;3;13:30;BERÇO DOW;DOW;GL;;BERÇO DOW;2;03:15;2;04:00;2;04:00;3;07:55;3;09:40;3;10:40
S20254;144;50.0;305.0;8.6;0;1;0;2;06:00;0.0;0.0;0.0;0.0;0.0;0.33;0.33;11.166666666666666;2;06:50;2;17:15;BERÇO ARM 31/32;CONCAIS;PASSAGEIROS;;BERÇO 25 + FRIG;2;06:00;2;07:20;2;07:20;2;18:30;2;18:50;2;20:05
S20254;145;52.0;331.43;8.65;0;1;0;2;06:45;0.0;0.0;0.0;0.0;0.0;0.17;0.17;10.333333333333334;2;07:55;2;17:30;BERÇO OUT 1;CONCAIS;PASSAGEIROS;;BERÇO OUT 1;2;06:45;2;08:05;2;08:05;2;18:25;2;18:35;2;19:30
S20254;146;40.0;272.08;10.2;0;0;0;2;07:00;0.0;0.5;0.0;0.5;0.0;0.67;0.67;16.5;2;13:20;3;08:28;BERÇO TECON 2;SANTOSBR;CGC;;BERÇO TECON 1.2;2;07:30;2;08:25;2;08:25;3;00:55;3;01:35;3;02:45
S20254;147;51.0;336.0;14.3;0;0;0;2;09:48;14.17;0.0;0.58;14.75;0.0;0.0;0.0;25.583333333333332;4;15:15;5;17:40;BERÇO TECON 3;SANTOSBR;CGC;;BERÇO TECON 3;3;00:35;3;01:30;3;01:30;4;03:05;4;03:05;4;04:15
S20254;148;40.0;306.0;12.0;0;0;0;2;12:30;22.33;12.08;15.0;49.42;0.0;0.83;0.83;21.166666666666668;3;07:22;4;11:46;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 2;4;13:55;4;15:35;4;15:35;5;12:45;5;13:35;5;14:50
S20254;149;36.0;199.99;9.85;0;0;0;2;14:15;0.0;0.0;0.0;0.0;0.0;3.58;3.58;26.5;2;14:35;3;18:40;BERÇO ARM 35P2;OUTROS_MACUCO;CGNC;;BERÇO ARM 29;2;14:15;2;15:35;2;15:35;3;18:05;3;21:40;3;22:35
S20254;151;28.0;183.2;8.5;0;0;0;2;16:00;176.0;0.0;0.0;176.0;0.0;0.0;0.0;25.666666666666668;11;20:54;13;01:50;BERÇO AL 02;TRANSPETRO;GL;;BERÇO AL 02;10;00:00;10;01:55;10;01:55;11;03:35;;;;;;
S20254;152;32.0;180.0;7.4;0;0;0;2;18:00;174.0;1.75;0.0;175.75;0.0;0.0;0.0;148.66666666666666;11;07:09;17;16:42;BERÇO ARM 34;OUTROS_LIBRA;CGNC;;BERÇO ARM 34;10;01:45;10;03:00;10;03:00;16;07:40;;;;;;
S20254;153;37.0;228.41;7.42;0;0;0;2;18:24;53.58;0.0;0.0;53.58;0.0;3.83;3.83;73.66666666666667;6;19:57;10;00:12;BERÇO ARM 20/21;AUTORIDADE_OUT;CGNC;;BERÇO ARM 20/21;5;00:00;5;01:25;5;01:25;8;03:05;8;06:55;8;07:55
S20254;154;48.0;333.17;11.4;0;0;0;2;19:30;0.0;0.67;0.0;0.67;17.08;1.33;18.42;24.833333333333332;2;20:15;3;23:20;BERÇO TECON 1.2;SANTOSBR;CGC;;BERÇO TECON 2;2;20:10;2;21:05;2;21:05;3;21:55;4;16:20;4;17:30
S20254;155;48.0;299.88;9.8;0;0;0;2;23:50;0.0;0.0;0.25;0.25;21.67;1.08;22.75;14.75;3;01:25;4;02:55;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 1;3;00:05;3;01:55;3;01:55;3;16:40;4;15:25;4;16:50
S20254;156;48.0;330.03;14.0;0;0;0;3;05:48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;3;12:26;4;14:48;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 3;3;05:50;3;07:20;3;07:20;4;07:20;4;07:20;4;09:05
S20254;157;44.0;289.59;8.3;0;1;0;3;06:30;0.0;0.0;0.0;0.0;0.0;0.08;0.08;11.333333333333334;3;07:25;3;18:00;BERÇO ARM 25;CONCAIS;PASSAGEIROS;;BERÇO ARM 31/32;3;06:30;3;07:45;3;07:45;3;19:05;3;19:10;3;20:20
S20254;158;32.0;190.0;6.06;0;0;0;3;07:30;16.5;0.0;0.5;17.0;0.0;0.0;0.0;31.833333333333332;5;07:30;6;19:20;BERÇO ARM 38;OUTROS_PONTA;CGNC;;BERÇO ARM 38;4;00:30;4;01:35;4;01:35;5;09:25;5;09:25;5;10:05
S20254;159;44.0;323.0;8.65;0;1;0;3;07:30;0.0;0.0;0.0;0.0;19.25;1.0;20.25;10.25;3;08:15;3;17:45;BERÇO OUT 1;CONCAIS;PASSAGEIROS;;BERÇO OUT 2;3;07:30;3;08:50;3;08:50;3;19:05;4;15:20;4;16:15
S20254;160;30.0;218.45;7.6;0;0;0;3;09:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.333333333333332;3;17:00;4;14:25;BERÇO TECON 3;SANTOSBR;CGC;;BERÇO TECON 1.1;3;09:00;3;09:55;3;09:55;4;06:15;4;06:15;4;07:25
S20254;161;32.0;229.0;6.8;0;0;0;3;11:00;109.17;0.0;0.67;109.83;0.0;0.0;0.0;60.666666666666664;9;21:55;12;13:45;BERÇO ARM 19;TGRAO;GSA - E;;BERÇO OUT 2;8;00:50;8;02:10;8;02:10;10;14:50;10;14:50;10;15:45
S20254;162;45.0;299.9;14.5;0;0;0;3;13:00;0.0;0.0;0.0;0.0;0.0;0.75;0.75;24.083333333333332;3;13:55;4;17:00;BERÇO TECON 2;SANTOSBR;CGC;;BERÇO TECON 1.2;3;13:00;3;13:55;3;13:55;4;14:00;4;14:45;4;15:55
S20254;163;43.0;270.9;10.5;0;0;0;3;15:48;0.0;2.42;0.0;2.42;0.0;0.0;0.0;35.416666666666664;4;14:49;6;02:51;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 1;3;18:15;3;19:35;3;19:35;5;07:00;5;07:00;5;08:35
S20254;164;27.0;170.7;9.81;0;0;0;3;17:00;79.0;19.33;0.0;98.33;0.0;0.0;0.0;128.66666666666666;8;14:40;14;03:40;BERÇO ARM 30;BRACELL;CGNC;;BERÇO ARM 35P2;7;19:20;7;20:15;7;20:15;13;04:55;;;;;;
S20254;165;26.0;168.03;9.4;0;0;0;3;18:40;29.33;5.75;0.0;35.08;0.0;0.67;0.67;14.25;6;12:55;7;05:43;BERÇO DPW 3;DPW - CGC;CGC;;BERÇO DPW 1;5;05:45;5;07:05;5;07:05;5;21:20;5;22:00;5;23:35
S20254;166;44.0;248.97;9.3;0;0;0;3;20:04;0.0;0.33;0.0;0.33;0.0;0.58;0.58;80.33333333333333;3;21:28;7;11:25;BERÇO AL 01;TRANSPETRO;GL;;BERÇO AL 01;3;20:25;3;22:20;3;22:20;7;06:40;7;07:15;7;08:45
S20254;167;32.0;199.98;11.7;0;0;0;3;20:13;0.0;0.0;0.42;0.42;0.0;0.0;0.0;234.66666666666666;3;21:05;13;18:30;BERÇO ARM 33;OUTROS_MACUCO;CGNC;;BERÇO ARM 35P1;3;20:40;3;21:30;3;21:30;13;16:10;;;;;;
S20254;169;32.2;225.0;7.24;0;0;0;4;05:30;44.33;0.0;0.08;44.42;0.0;0.0;0.0;133.16666666666666;7;06:00;12;22:55;BERÇO TEAG;TEAG;GSA - E;;BERÇO TEAG;6;01:55;6;03:05;6;03:05;11;16:15;;;;;;
S20254;170;48.0;300.07;13.4;0;0;0;4;05:30;7.5;0.0;0.33;7.83;0.0;0.33;0.33;17.833333333333332;4;07:20;5;02:50;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 2;4;13:20;4;14:50;4;14:50;5;08:40;5;09:00;5;10:45
S20254;171;36.0;200.0;10.9;0;0;0;4;05:46;0.0;0.0;0.0;0.0;0.0;2.75;2.75;21.083333333333332;4;06:40;5;08:20;BERÇO TECON 1.2;SANTOSBR;CGC;;BERÇO TECON 1.1;4;05:50;4;06:45;4;06:45;5;03:50;5;06:35;5;07:45
S20254;173;32.0;182.5;9.5;0;0;0;4;15:00;34.92;30.92;0.0;65.83;0.0;1.17;1.17;27.083333333333332;7;15:10;8;23:00;BERÇO AL 01;TRANSPETRO;GL;;BERÇO AL 01;7;08:50;7;10:45;7;10:45;8;13:50;8;15:00;8;16:30
S20254;175;30.0;222.14;10.1;0;0;0;4;19:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;4;20:05;5;10:03;BERÇO TECON 1.1;SANTOSBR;CGC;;BERÇO TECON 1.2;4;19:00;4;19:55;4;19:55;5;08:25;5;08:25;5;09:35
S20254;177;48.0;299.95;8.9;0;0;0;4;22:36;25.33;4.42;0.0;29.75;0.0;0.0;0.0;21.416666666666668;7;17:50;8;15:42;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 3;6;04:25;6;06:15;6;06:15;7;03:40;7;03:40;7;05:05
S20254;178;25.0;156.53;7.8;0;0;0;5;03:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.416666666666664;5;07:20;7;09:47;BERÇO AL 04;ULTRACARGO;GL;;BERÇO AL 03;5;03:00;5;04:35;5;04:35;6;18:00;6;18:00;6;19:50
S20254;179;49.0;299.97;11.0;0;0;0;5;05:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.166666666666668;5;07:48;6;09:24;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 3;5;05:00;5;06:50;5;06:50;6;06:00;6;06:00;6;07:25
S20254;180;29.0;180.0;7.8;0;0;0;5;05:30;0.0;0.0;1.5;1.5;0.0;0.5;0.5;9.916666666666666;5;07:00;5;20:10;BERÇO AL 02;TRANSPETRO;GL;;BERÇO AL 02;5;07:00;5;08:35;5;08:35;5;18:30;5;19:00;5;20:50
S20254;181;42.0;334.07;10.7;0;0;0;5;07:00;0.0;0.0;3.83;3.83;0.5;0.0;0.5;24.5;5;09:00;6;13:50;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 2;5;10:50;5;12:20;5;12:20;6;12:50;6;13:20;6;15:05
S20254;182;48.0;333.2;11.7;0;0;0;5;08:00;0.0;0.0;3.42;3.42;0.58;0.75;1.33;23.166666666666668;5;09:00;6;12:39;BERÇO TECON 2;SANTOSBR;CGC;;BERÇO TECON 2;5;11:25;5;12:20;5;12:20;6;11:30;6;12:50;6;14:00
S20254;183;48.0;328.46;10.7;0;0;0;5;08:42;0.0;0.0;2.42;2.42;0.0;1.0;1.0;32.5;6;13:10;8;01:43;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 1;5;11:10;5;13:00;5;13:00;6;21:30;6;22:30;6;23:55
S20254;184;30.0;208.85;10.3;0;0;0;5;09:54;0.0;2.67;0.0;2.67;0.0;1.42;1.42;14.0;5;22:35;6;17:04;BERÇO DPW 1;DPW - CGC;CGC;;BERÇO DPW 2;5;12:35;5;14:15;5;14:15;6;04:15;6;05:40;6;06:55
S20254;185;32.0;189.99;7.62;0;0;0;5;14:11;0.0;0.0;0.67;0.67;0.0;1.08;1.08;51.583333333333336;5;14:41;7;20:00;BERÇO ARM 31;OUTROS_MACUCO;CGNC;;BERÇO ARM 31;5;14:55;5;15:50;5;15:50;7;19:25;7;20:30;7;21:40
S20254;186;42.0;333.99;9.7;0;0;0;5;15:00;82.67;0.0;0.33;83.0;0.0;0.0;0.0;34.0;10;21:45;12;10:16;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 1;9;02:00;9;03:20;9;03:20;10;13:20;10;13:20;10;14:55
S20254;187;25.0;160.0;7.5;0;0;0;5;22:00;0.0;0.0;0.0;0.0;0.0;0.08;0.08;44.75;5;23:30;7;22:20;BERÇO AL 03;ULTRACARGO;GL;;BERÇO AL 02;5;22:00;5;23:55;5;23:55;7;20:40;7;20:45;7;22:15
S20254;188;32.0;189.99;6.54;0;0;0;5;22:00;0.0;0.0;0.83;0.83;0.0;0.0;0.0;139.58333333333334;5;23:40;12;00:40;BERÇO ARM 39;ADM;GSA - E;;BERÇO ARM 39;5;22:50;5;23:55;5;23:55;11;19:30;;;;;;
S20254;189;32.0;228.99;6.6;0;0;0;5;23:12;0.75;0.0;0.25;1.0;0.0;0.0;0.0;86.83333333333333;6;16:55;10;13:17;BERÇO TGG;TGG;GSA - E;;BERÇO TGG;6;00:15;6;01:25;6;01:25;9;16:15;9;16:15;9;17:00
S20254;190;40.0;275.0;13.3;0;0;0;6;03:43;0.0;0.0;0.0;0.0;0.0;1.92;1.92;15.25;6;04:53;6;22:40;BERÇO TECON 3;SANTOSBR;CGC;;BERÇO TECON 1.2;6;03:45;6;04:40;6;04:40;6;19:55;6;21:50;6;23:00
S20254;191;32.0;228.62;8.3;0;0;0;6;05:00;1.33;32.83;4.5;38.67;0.0;0.0;0.0;16.0;6;07:30;7;09:38;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 2;7;19:40;7;21:00;7;21:00;8;13:00;8;13:00;8;14:35
S20254;192;48.0;299.9;11.3;0;0;0;6;06:12;0.0;5.5;0.0;5.5;0.0;4.42;4.42;22.833333333333332;6;17:25;7;15:45;BERÇO BTP 3;BTP;CGC;;BERÇO BTP 2;6;11:45;6;13:35;6;13:35;7;12:25;7;16:50;7;18:15
S20254;193;44.0;323.0;8.6;0;1;0;6;06:30;0.5;0.0;0.5;1.0;0.0;1.42;1.42;15.833333333333334;6;07:15;6;22:20;BERÇO OUT 1;CONCAIS;PASSAGEIROS;;BERÇO OUT 2;6;07:30;6;08:50;6;08:50;7;00:40;7;02:05;7;03:00
S20254;194;40.04;275.0;12.0;0;0;0;6;07:24;0.0;0.0;0.75;0.75;0.0;0.25;0.25;24.916666666666668;7;14:22;8;16:40;BERÇO DPW 2;DPW - CGC;CGC;;BERÇO DPW 1;6;08:10;6;09:30;6;09:30;7;10:25;7;10:40;7;12:15
S20254;195;19.0;88.8;5.0;0;0;0;6;08:20;0.0;0.0;0.08;0.08;0.0;0.0;0.0;19.583333333333332;6;08:30;7;03:30;BERÇO SAIPEM 1;SAIPEM;CGNC;;BERÇO SAIPEM 1;6;08:25;6;09:20;6;09:20;7;04:55;7;04:55;7;05:25
S20254;196;42.0;270.07;10.9;0;0;0;6;10:30;61.5;0.0;0.25;61.75;0.0;3.67;3.67;25.583333333333332;10;18:43;11;21:10;BERÇO BTP 2;BTP;CGC;;BERÇO BTP 1;9;00:15;9;01:45;9;01:45;10;03:20;10;07:00;10;08:45
S20254;199;32.0;183.1;10.0;0;0;0;6;16:00;0.0;0.0;0.0;0.0;0.08;0.08;0.17;20.833333333333332;6;17:36;7;22:30;BERÇO DOW;DOW;GL;;BERÇO DOW;6;16:00;6;16:45;6;16:45;7;13:35;7;13:45;7;14:45
