SEGMENT_ID;MONTH;HOURS_0_VESSELS;HOURS_1_VESSEL;HOURS_2_VESSELS;HOURS_3_VESSELS;HOURS_4_VESSELS;HOURS_5_VESSELS;HOURS_5PLUS_VESSELS
6;2025-05;626.5;110.33;7.17;0.0;0.0;0.0;0.0
6;2025-06;605.33;104.25;9.92;0.42;0.08;0.0;0.0
6;2025-07;629.92;106.92;7.08;0.08;0.0;0.0;0.0
6;2025-08;618.92;114.83;10.25;0.0;0.0;0.0;0.0
6;2025-09;606.17;105.75;7.25;0.83;0.0;0.0;0.0
6;2025-10;627.0;106.83;10.08;0.08;0.0;0.0;0.0
6;2025-11;597.67;115.33;7.0;0.0;0.0;0.0;0.0
7;2025-01;479.08;48.5;0.42;0.0;0.0;0.0;0.0
7;2025-02;587.17;84.08;0.75;0.0;0.0;0.0;0.0
7;2025-03;649.25;93.5;1.25;0.0;0.0;0.0;0.0
7;2025-04;646.25;71.83;1.92;0.0;0.0;0.0;0.0
7;2025-05;668.75;73.5;1.75;0.0;0.0;0.0;0.0
7;2025-06;642.33;75.33;2.33;0.0;0.0;0.0;0.0
7;2025-07;679.17;63.42;1.42;0.0;0.0;0.0;0.0
7;2025-08;672.33;69.5;2.17;0.0;0.0;0.0;0.0
7;2025-09;653.25;65.42;1.33;0.0;0.0;0.0;0.0
7;2025-10;677.58;64.25;2.17;0.0;0.0;0.0;0.0
7;2025-11;641.58;76.83;1.58;0.0;0.0;0.0;0.0
8;2025-01;499.25;28.5;0.25;0.0;0.0;0.0;0.0
8;2025-02;623.83;47.5;0.67;0.0;0.0;0.0;0.0
8;2025-03;686.83;56.08;1.08;0.0;0.0;0.0;0.0
8;2025-04;668.75;50.5;0.75;0.0;0.0;0.0;0.0
8;2025-05;686.75;55.5;1.75;0.0;0.0;0.0;0.0
8;2025-06;665.17;53.33;1.5;0.0;0.0;0.0;0.0
8;2025-07;685.92;56.33;1.75;0.0;0.0;0.0;0.0
8;2025-08;678.0;64.17;1.83;0.0;0.0;0.0;0.0
8;2025-09;661.33;57.5;1.17;0.0;0.0;0.0;0.0
8;2025-10;681.92;60.33;1.75;0.0;0.0;0.0;0.0
8;2025-11;659.25;59.58;1.17;0.0;0.0;0.0;0.0
9;2025-01;503.17;24.33;0.5;0.0;0.0;0.0;0.0
9;2025-02;629.58;41.83;0.58;0.0;0.0;0.0;0.0
9;2025-03;695.83;47.5;0.67;0.0;0.0;0.0;0.0
9;2025-04;674.58;44.58;0.83;0.0;0.0;0.0;0.0
9;2025-05;691.75;51.0;1.25;0.0;0.0;0.0;0.0
9;2025-06;670.58;48.33;1.08;0.0;0.0;0.0;0.0
9;2025-07;689.83;53.08;1.08;0.0;0.0;0.0;0.0
9;2025-08;687.58;54.75;1.67;0.0;0.0;0.0;0.0
9;2025-09;665.5;53.33;1.17;0.0;0.0;0.0;0.0
9;2025-10;689.17;53.92;0.92;0.0;0.0;0.0;0.0
9;2025-11;665.17;53.42;1.42;0.0;0.0;0.0;0.0
10;2025-01;500.58;27.42;0.0;0.0;0.0;0.0;0.0
10;2025-02;628.17;43.83;0.0;0.0;0.0;0.0;0.0
10;2025-03;698.08;45.92;0.0;0.0;0.0;0.0;0.0
10;2025-04;674.33;45.67;0.0;0.0;0.0;0.0;0.0
10;2025-05;697.92;46.08;0.0;0.0;0.0;0.0;0.0
10;2025-06;673.08;46.92;0.0;0.0;0.0;0.0;0.0
10;2025-07;702.17;41.83;0.0;0.0;0.0;0.0;0.0
10;2025-08;694.0;50.0;0.0;0.0;0.0;0.0;0.0
10;2025-09;674.25;45.75;0.0;0.0;0.0;0.0;0.0
10;2025-10;699.25;44.67;0.08;0.0;0.0;0.0;0.0
10;2025-11;675.42;44.58;0.0;0.0;0.0;0.0;0.0
11;2025-01;490.83;34.08;3.08;0.0;0.0;0.0;0.0
11;2025-02;619.75;47.67;4.58;0.0;0.0;0.0;0.0
11;2025-03;685.25;55.25;3.5;0.0;0.0;0.0;0.0
11;2025-04;666.58;50.42;3.0;0.0;0.0;0.0;0.0
11;2025-05;687.25;53.33;3.42;0.0;0.0;0.0;0.0
11;2025-06;662.17;54.17;3.67;0.0;0.0;0.0;0.0
11;2025-07;689.58;50.08;4.33;0.0;0.0;0.0;0.0
11;2025-08;683.33;56.42;4.25;0.0;0.0;0.0;0.0
11;2025-09;663.58;52.83;3.58;0.0;0.0;0.0;0.0
11;2025-10;688.58;51.0;4.42;0.0;0.0;0.0;0.0
11;2025-11;662.58;54.08;3.33;0.0;0.0;0.0;0.0
12;2025-01;497.0;31.0;0.0;0.0;0.0;0.0;0.0
12;2025-02;623.42;48.58;0.0;0.0;0.0;0.0;0.0
12;2025-03;687.58;56.42;0.0;0.0;0.0;0.0;0.0
12;2025-04;668.33;51.67;0.0;0.0;0.0;0.0;0.0
12;2025-05;693.83;50.17;0.0;0.0;0.0;0.0;0.0
12;2025-06;666.75;53.25;0.0;0.0;0.0;0.0;0.0
12;2025-07;690.33;53.58;0.08;0.0;0.0;0.0;0.0
12;2025-08;688.17;55.58;0.25;0.0;0.0;0.0;0.0
12;2025-09;669.83;49.92;0.25;0.0;0.0;0.0;0.0
12;2025-10;692.67;50.75;0.58;0.0;0.0;0.0;0.0
12;2025-11;671.17;48.83;0.0;0.0;0.0;0.0;0.0
13;2025-01;498.42;27.25;2.33;0.0;0.0;0.0;0.0
13;2025-02;627.33;41.58;3.08;0.0;0.0;0.0;0.0
13;2025-03;696.67;44.25;3.08;0.0;0.0;0.0;0.0
13;2025-04;671.0;44.0;5.0;0.0;0.0;0.0;0.0
13;2025-05;695.17;43.25;5.58;0.0;0.0;0.0;0.0
13;2025-06;666.83;48.42;4.75;0.0;0.0;0.0;0.0
13;2025-07;696.83;42.67;4.5;0.0;0.0;0.0;0.0
13;2025-08;692.67;46.0;5.33;0.0;0.0;0.0;0.0
13;2025-09;670.5;43.5;6.0;0.0;0.0;0.0;0.0
13;2025-10;695.08;42.0;6.83;0.08;0.0;0.0;0.0
13;2025-11;672.42;41.75;5.83;0.0;0.0;0.0;0.0
14;2025-01;508.25;19.75;0.0;0.0;0.0;0.0;0.0
14;2025-02;640.67;31.33;0.0;0.0;0.0;0.0;0.0
14;2025-03;712.75;31.25;0.0;0.0;0.0;0.0;0.0
14;2025-04;685.0;35.0;0.0;0.0;0.0;0.0;0.0
14;2025-05;718.42;25.58;0.0;0.0;0.0;0.0;0.0
14;2025-06;685.25;34.75;0.0;0.0;0.0;0.0;0.0
14;2025-07;716.08;27.83;0.08;0.0;0.0;0.0;0.0
14;2025-08;708.5;35.5;0.0;0.0;0.0;0.0;0.0
14;2025-09;687.75;32.08;0.17;0.0;0.0;0.0;0.0
14;2025-10;714.83;29.17;0.0;0.0;0.0;0.0;0.0
14;2025-11;688.0;32.0;0.0;0.0;0.0;0.0;0.0
15;2025-01;526.08;1.92;0.0;0.0;0.0;0.0;0.0
15;2025-02;669.0;3.0;0.0;0.0;0.0;0.0;0.0
15;2025-03;738.83;5.08;0.08;0.0;0.0;0.0;0.0
15;2025-04;715.67;4.33;0.0;0.0;0.0;0.0;0.0
15;2025-05;738.5;5.42;0.08;0.0;0.0;0.0;0.0
15;2025-06;713.92;6.08;0.0;0.0;0.0;0.0;0.0
15;2025-07;739.33;4.67;0.0;0.0;0.0;0.0;0.0
15;2025-08;738.17;5.83;0.0;0.0;0.0;0.0;0.0
15;2025-09;714.42;5.58;0.0;0.0;0.0;0.0;0.0
15;2025-10;739.42;4.5;0.08;0.0;0.0;0.0;0.0
15;2025-11;714.17;5.83;0.0;0.0;0.0;0.0;0.0
16;2025-01;522.58;5.08;0.33;0.0;0.0;0.0;0.0
16;2025-02;663.33;8.33;0.33;0.0;0.0;0.0;0.0
16;2025-03;728.58;15.08;0.33;0.0;0.0;0.0;0.0
16;2025-04;707.33;12.33;0.33;0.0;0.0;0.0;0.0
16;2025-05;727.67;15.92;0.42;0.0;0.0;0.0;0.0
16;2025-06;701.92;17.92;0.17;0.0;0.0;0.0;0.0
16;2025-07;730.25;13.5;0.25;0.0;0.0;0.0;0.0
16;2025-08;726.75;17.0;0.25;0.0;0.0;0.0;0.0
16;2025-09;703.92;15.42;0.67;0.0;0.0;0.0;0.0
16;2025-10;730.5;13.0;0.5;0.0;0.0;0.0;0.0
16;2025-11;702.67;17.17;0.17;0.0;0.0;0.0;0.0
17;2025-01;518.67;9.33;0.0;0.0;0.0;0.0;0.0
17;2025-02;657.5;14.5;0.0;0.0;0.0;0.0;0.0
17;2025-03;718.5;25.5;0.0;0.0;0.0;0.0;0.0
17;2025-04;698.58;20.5;0.92;0.0;0.0;0.0;0.0
17;2025-05;716.83;27.17;0.0;0.0;0.0;0.0;0.0
17;2025-06;689.5;30.5;0.0;0.0;0.0;0.0;0.0
17;2025-07;723.33;19.33;1.33;0.0;0.0;0.0;0.0
17;2025-08;715.17;28.83;0.0;0.0;0.0;0.0;0.0
17;2025-09;692.92;26.5;0.58;0.0;0.0;0.0;0.0
17;2025-10;720.75;23.0;0.25;0.0;0.0;0.0;0.0
17;2025-11;692.17;27.5;0.33;0.0;0.0;0.0;0.0
