SCENARIO_ID;ARRIVAL_ID;LOA;BEAM;DRAFT;TERMINAL_ID;BERTH;CATEGORY;DETAILED_CATEGORY;PROCESS_TIME
S005;30;276.2;40.0;8.3;21.0;BERÇO BTP 1;CARGO;N/A;385
S005;31;299.9;45.0;11.5;21.0;BERÇO BTP 2;CARGO;N/A;838
S005;35;225.0;32.0;9.0;58.0;BERÇO DPW 3;CARGO;N/A;8713
S005;36;183.1;32.0;7.85;49.0;BERÇO AL 03;CARGO;N/A;1732
S005;38;182.88;32.0;8.0;1.0;BERÇO AL 01;CARGO;N/A;2064
S005;39;222.14;30.0;9.7;22.0;BERÇO TECON 1.2;CARGO;N/A;311
S005;40;227.92;37.0;11.7;22.0;BERÇO TECON 2;CARGO;N/A;1451
S005;43;170.0;26.0;7.55;34.0;BERÇO CUTRALE;CARGO;N/A;3364
S005;44;195.92;25.0;6.3;23.0;BERÇO TEV;CARGO;RO-RO;270
S005;45;224.96;33.0;7.0;14.0;BERÇO OUT 2;CARGO;N/A;5770
S005;46;158.98;27.0;8.7;4.0;BERÇO AL 04;CARGO;N/A;1940
S005;47;119.9;22.0;7.2;30.0;BERÇO IB BC;CARGO;N/A;2530
S005;48;145.53;24.0;9.7;29.0;BERÇO Ageo I;CARGO;N/A;1500
S005;49;293.2;40.0;10.8;21.0;BERÇO BTP 2;CARGO;N/A;1013
S005;51;179.99;30.0;6.4;9.0;BERÇO ARM 31;CARGO;N/A;3876
S005;52;299.95;40.0;10.9;38.0;BERÇO DPW 2;CARGO;N/A;971
S005;53;210.56;30.0;8.1;44.0;BERÇO ARM 35P2;CARGO;N/A;4400
S005;54;199.9;32.0;7.1;44.0;BERÇO ARM 33;CARGO;N/A;3325
S005;57;304.16;40.0;13.4;22.0;BERÇO TECON 1.2;CARGO;N/A;1034
S005;58;262.08;32.0;8.15;22.0;BERÇO TECON 2;CARGO;N/A;777
S005;59;255.36;37.0;10.5;22.0;BERÇO TECON 3;CARGO;N/A;644
S005;60;229.0;32.0;14.2;25.0;BERÇO TERMAG;CARGO;N/A;8368
S005;61;183.1;32.0;8.8;32.0;BERÇO IB SP;CARGO;N/A;1760
S005;62;227.92;37.0;11.4;21.0;BERÇO BTP 1;CARGO;N/A;254
S005;63;213.4;31.0;11.78;58.0;BERÇO DPW 4;CARGO;N/A;5263
S005;64;172.0;28.0;9.0;38.0;BERÇO DPW 1;CARGO;N/A;794
S005;65;145.0;24.0;9.6;49.0;BERÇO AL 02;CARGO;N/A;1617
S005;66;289.59;44.0;8.3;12.0;BERÇO 25 + FRIG;PASSENGER;N/A;640
S005;68;299.9;45.0;13.85;22.0;BERÇO TECON 1.2;CARGO;N/A;1456
S005;70;116.82;18.0;5.0;30.0;BERÇO IB SP;CARGO;N/A;1905
S005;71;179.99;28.0;8.0;30.0;BERÇO IB BC;CARGO;N/A;4375
S005;72;142.4;23.0;7.0;29.0;BERÇO IB BC;CARGO;N/A;1662
S005;73;183.06;32.0;11.4;29.0;BERÇO Ageo I;CARGO;N/A;3738
S005;74;138.54;21.0;5.9;57.0;BERÇO CS 04;CARGO;N/A;1
S005;75;210.0;36.0;11.55;57.0;BERÇO VAL;CARGO;N/A;600
S005;76;210.0;37.0;8.45;56.0;BERÇO ARM 37;CARGO;N/A;1854
S005;77;199.9;33.0;7.5;57.0;BERÇO VAL;CARGO;N/A;5740
S005;78;180.4;33.0;10.28;17.0;BERÇO ARM 35P1;CARGO;N/A;9540
S005;79;299.9;45.0;10.95;21.0;BERÇO BTP 2;CARGO;N/A;1323
S005;81;204.35;32.0;11.6;58.0;BERÇO DPW 4;CARGO;N/A;2315
S005;82;334.98;45.83;10.3;38.0;BERÇO DPW 1;CARGO;N/A;1945
S005;83;182.9;30.0;11.3;49.0;BERÇO AL 03;CARGO;N/A;3538
S005;84;75.2;17.0;4.15;36.0;BERÇO SAIPEM 2;CARGO;N/A;300
S005;86;185.99;35.0;9.2;22.0;BERÇO TECON 2;CARGO;N/A;679
S005;88;157.4;26.0;6.1;34.0;BERÇO CUTRALE;CARGO;N/A;1997
S005;89;199.98;32.0;8.53;14.0;BERÇO OUT 3;CARGO;N/A;3380
S005;90;189.99;32.3;6.19;33.0;BERÇO TIPLAM 2;CARGO;N/A;3690
S005;91;186.07;32.0;8.2;29.0;BERÇO IB SP;CARGO;N/A;2375
S005;92;204.38;32.0;11.43;57.0;BERÇO VAL;CARGO;N/A;1563
S005;93;260.66;32.0;11.5;21.0;BERÇO BTP 1;CARGO;N/A;1133
S005;97;189.99;22.0;11.62;42.0;BERÇO ARM 38;CARGO;N/A;2207
S005;99;227.92;37.0;9.9;22.0;BERÇO TECON 1.2;CARGO;N/A;289
S005;100;175.53;29.0;9.94;33.0;BERÇO TIPLAM 1;CARGO;N/A;9560
S005;102;228.95;35.0;7.3;56.0;BERÇO ARM 37;CARGO;N/A;2868
S005;103;213.88;32.0;8.5;21.0;BERÇO BTP 2;CARGO;N/A;972
S005;110;229.2;38.0;7.9;46.0;BERÇO ARM 13/14;CARGO;N/A;7489
S005;111;179.99;28.0;9.33;47.0;BERÇO CS 01;CARGO;N/A;10050
S005;112;177.9;33.0;8.2;36.0;BERÇO SAIPEM 1;CARGO;N/A;8640
S005;113;231.0;32.0;11.5;22.0;BERÇO TECON 3;CARGO;N/A;1129
S005;114;272.05;40.0;10.05;22.0;BERÇO TECON 1.2;CARGO;N/A;769
S005;115;182.47;25.0;7.6;22.0;BERÇO TECON 1.1;CARGO;N/A;1968
S005;116;146.6;24.0;5.8;2.0;BERÇO AL 02;CARGO;N/A;1090
S005;117;134.75;21.0;7.9;29.0;BERÇO Ageo I;CARGO;N/A;2988
S005;118;299.9;45.0;10.1;21.0;BERÇO BTP 2;CARGO;N/A;934
S005;122;199.99;36.0;8.65;48.0;BERÇO ARM 34;CARGO;N/A;1846
S005;124;183.05;32.23;8.8;1.0;BERÇO AL 02;CARGO;N/A;1674
S005;125;183.98;27.4;7.4;1.0;BERÇO AL 01;CARGO;N/A;1800
S005;126;88.8;19.0;4.9;36.0;BERÇO SAIPEM 2;CARGO;N/A;3480
S005;127;255.0;37.0;10.3;22.0;BERÇO TECON 2;CARGO;N/A;935
S005;134;199.2;30.0;11.15;44.0;BERÇO ARM 33;CARGO;N/A;737
S005;136;186.36;28.0;9.0;22.0;BERÇO TECON 3;CARGO;N/A;721
S005;137;258.89;32.0;9.0;22.0;BERÇO TECON 3;CARGO;N/A;85
S005;139;190.0;32.0;11.71;14.0;BERÇO OUT 3;CARGO;N/A;255
S005;140;179.87;28.0;8.5;33.0;BERÇO TIPLAM 2;CARGO;N/A;1182
