SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;BERTH_ID;BERTH;IN_SEG1_ARR_D;IN_SEG1_ARR_H;IN_SEG1_DP_D;IN_SEG1_DP_H;IN_SEG2_ARR_D;IN_SEG2_ARR_H;IN_SEG2_DP_D;IN_SEG2_DP_H;IN_SEG3_ARR_D;IN_SEG3_ARR_H;IN_SEG3_DP_D;IN_SEG3_DP_H;IN_SEG4_ARR_D;IN_SEG4_ARR_H;IN_SEG4_DP_D;IN_SEG4_DP_H;IN_SEG5_ARR_D;IN_SEG5_ARR_H;IN_SEG5_DP_D;IN_SEG5_DP_H;IN_SEG6_ARR_D;IN_SEG6_ARR_H;IN_SEG6_DP_D;IN_SEG6_DP_H;IN_SEG7_ARR_D;IN_SEG7_ARR_H;IN_SEG7_DP_D;IN_SEG7_DP_H;IN_SEG8_ARR_D;IN_SEG8_ARR_H;IN_SEG8_DP_D;IN_SEG8_DP_H;IN_SEG9_ARR_D;IN_SEG9_ARR_H;IN_SEG9_DP_D;IN_SEG9_DP_H;IN_SEG10_ARR_D;IN_SEG10_ARR_H;IN_SEG10_DP_D;IN_SEG10_DP_H;IN_SEG11_ARR_D;IN_SEG11_ARR_H;IN_SEG11_DP_D;IN_SEG11_DP_H;IN_SEG12_ARR_D;IN_SEG12_ARR_H;IN_SEG12_DP_D;IN_SEG12_DP_H;IN_SEG13_ARR_D;IN_SEG13_ARR_H;IN_SEG13_DP_D;IN_SEG13_DP_H;IN_SEG14_ARR_D;IN_SEG14_ARR_H;IN_SEG14_DP_D;IN_SEG14_DP_H;IN_SEG15_ARR_D;IN_SEG15_ARR_H;IN_SEG15_DP_D;IN_SEG15_DP_H;IN_SEG16_ARR_D;IN_SEG16_ARR_H;IN_SEG16_DP_D;IN_SEG16_DP_H;IN_SEG17_ARR_D;IN_SEG17_ARR_H;IN_SEG17_DP_D;IN_SEG17_DP_H;BERTH_ARR_D;BERTH_ARR_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DP_D;BERTH_DP_H;OUT_SEG17_ARR_D;OUT_SEG17_ARR_H;OUT_SEG17_DP_D;OUT_SEG17_DP_H;OUT_SEG16_ARR_D;OUT_SEG16_ARR_H;OUT_SEG16_DP_D;OUT_SEG16_DP_H;OUT_SEG15_ARR_D;OUT_SEG15_ARR_H;OUT_SEG15_DP_D;OUT_SEG15_DP_H;OUT_SEG14_ARR_D;OUT_SEG14_ARR_H;OUT_SEG14_DP_D;OUT_SEG14_DP_H;OUT_SEG13_ARR_D;OUT_SEG13_ARR_H;OUT_SEG13_DP_D;OUT_SEG13_DP_H;OUT_SEG12_ARR_D;OUT_SEG12_ARR_H;OUT_SEG12_DP_D;OUT_SEG12_DP_H;OUT_SEG11_ARR_D;OUT_SEG11_ARR_H;OUT_SEG11_DP_D;OUT_SEG11_DP_H;OUT_SEG10_ARR_D;OUT_SEG10_ARR_H;OUT_SEG10_DP_D;OUT_SEG10_DP_H;OUT_SEG9_ARR_D;OUT_SEG9_ARR_H;OUT_SEG9_DP_D;OUT_SEG9_DP_H;OUT_SEG8_ARR_D;OUT_SEG8_ARR_H;OUT_SEG8_DP_D;OUT_SEG8_DP_H;OUT_SEG7_ARR_D;OUT_SEG7_ARR_H;OUT_SEG7_DP_D;OUT_SEG7_DP_H;OUT_SEG6_ARR_D;OUT_SEG6_ARR_H;OUT_SEG6_DP_D;OUT_SEG6_DP_H;OUT_SEG5_ARR_D;OUT_SEG5_ARR_H;OUT_SEG5_DP_D;OUT_SEG5_DP_H;OUT_SEG4_ARR_D;OUT_SEG4_ARR_H;OUT_SEG4_DP_D;OUT_SEG4_DP_H;OUT_SEG3_ARR_D;OUT_SEG3_ARR_H;OUT_SEG3_DP_D;OUT_SEG3_DP_H;OUT_SEG2_ARR_D;OUT_SEG2_ARR_H;OUT_SEG2_DP_D;OUT_SEG2_DP_H;OUT_SEG1_ARR_D;OUT_SEG1_ARR_H;OUT_SEG1_DP_D;OUT_SEG1_DP_H;NON_PRODUCTIVE_TIME_SPENT
S005;11;42.0;334.07;12.0;0;0;0;1;15:53;0.0;0.0;0.03;0.03;55;BERÇO TECON 3;1;15:55;1;16:15;1;16:15;1;16:20;1;16:20;1;16:25;1;16:25;1;16:30;;;;;1;16:30;1;16:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16:40;1;16:40;2;07:50;2;08:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;08:25;2;08:55;;;;;2;08:55;2;09:00;2;09:00;2;09:05;2;09:05;2;09:10;2;09:10;2;09:30;
S005;12;25.0;182.47;8.2;0;0;0;1;16:45;0.08;0.0;0.0;0.08;53;BERÇO TECON 1.2;1;16:50;1;17:10;1;17:10;1;17:15;1;17:15;1;17:20;1;17:20;1;17:25;;;;;1;17:25;1;17:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;17:35;1;17:35;2;13:31;2;14:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;14:15;2;14:45;;;;;2;14:45;2;14:50;2;14:50;2;14:55;2;14:55;2;15:00;2;15:00;2;15:20;
S005;13;33.0;209.75;11.0;0;0;0;1;11:24;0.0;0.0;0.02;0.02;52;BERÇO TECON 1.1;1;11:25;1;11:45;1;11:45;1;11:50;1;11:50;1;11:55;1;11:55;1;12:00;;;;;1;12:00;1;12:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;12:10;1;12:10;2;03:36;2;03:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;03:40;2;04:10;;;;;2;04:10;2;04:15;2;04:15;2;04:20;2;04:20;2;04:25;2;04:25;2;04:45;
S005;14;32.0;189.99;5.6;0;0;0;2;03:18;0.08;0.0;0.62;0.7;14;BERÇO ARM 20/21;2;04:00;2;04:20;2;04:20;2;04:25;2;04:25;2;04:30;2;04:30;2;04:35;;;;;2;04:35;2;04:40;2;04:40;2;04:45;2;04:45;2;05:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;05:15;2;05:15;3;15:15;3;15:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;15:15;3;15:25;3;15:25;3;15:30;3;15:30;3;15:35;;;;;3;15:35;3;15:40;3;15:40;3;15:45;3;15:45;3;15:50;3;15:50;3;16:10;
S005;16;32.0;199.9;6.6;0;0;0;2;14:00;0.83;25.83;0.0;26.67;14;BERÇO ARM 20/21;3;16:40;3;17:00;3;17:00;3;17:05;3;17:05;3;17:10;3;17:10;3;17:15;;;;;3;17:15;3;17:20;3;17:20;3;17:25;3;17:25;3;17:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;17:55;3;17:55;5;12:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S005;17;32.0;294.09;10.0;0;0;0;2;14:00;0.08;0.0;0.0;0.08;34;BERÇO BTP 3;2;14:05;2;14:25;2;14:25;2;14:30;2;14:30;2;14:35;2;14:35;2;14:40;;;;;2;14:40;2;14:45;2;14:45;2;14:50;;;;;;;;;;;;;2;14:50;2;14:55;2;14:55;2;15:00;2;15:00;2;15:10;;;;;;;;;;;;;;;;;2;15:10;2;15:10;3;05:55;3;05:55;;;;;;;;;;;;;;;;;3;05:55;3;06:25;3;06:25;3;06:30;3;06:30;3;06:35;;;;;;;;;;;;;3;06:35;3;06:40;3;06:40;3;06:45;;;;;3;06:45;3;06:50;3;06:50;3;06:55;3;06:55;3;07:00;3;07:00;3;07:20;
S005;18;45.0;299.9;11.8;0;0;0;2;15:23;0.0;0.0;0.03;0.03;33;BERÇO BTP 2;2;15:25;2;15:45;2;15:45;2;15:50;2;15:50;2;15:55;2;15:55;2;16:00;;;;;2;16:00;2;16:05;2;16:05;2;16:10;;;;;;;;;;;;;2;16:10;2;16:15;2;16:15;2;16:20;2;16:20;2;16:30;;;;;;;;;;;;;;;;;2;16:30;2;16:30;3;09:18;3;09:20;;;;;;;;;;;;;;;;;3;09:20;3;09:50;3;09:50;3;09:55;3;09:55;3;10:00;;;;;;;;;;;;;3;10:00;3;10:05;3;10:05;3;10:10;;;;;3;10:10;3;10:15;3;10:15;3;10:20;3;10:20;3;10:25;3;10:25;3;10:45;
S005;19;43.0;272.0;12.1;0;0;0;2;12:00;0.08;0.0;0.0;0.08;32;BERÇO BTP 1;2;12:05;2;12:25;2;12:25;2;12:30;2;12:30;2;12:35;2;12:35;2;12:40;;;;;2;12:40;2;12:45;2;12:45;2;12:50;;;;;;;;;;;;;2;12:50;2;12:55;2;12:55;2;13:00;2;13:00;2;13:10;;;;;;;;;;;;;;;;;2;13:10;2;13:10;3;05:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S005;20;32.0;201.8;8.0;0;0;0;2;12:00;0.08;0.0;0.42;0.5;27;BERÇO ARM 35P2;2;12:30;2;12:50;2;12:50;2;12:55;2;12:55;2;13:00;2;13:00;2;13:05;;;;;2;13:05;2;13:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;13:35;2;13:35;5;12:47;5;11:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;11:40;5;11:50;;;;;5;11:50;5;11:55;5;11:55;5;12:00;5;12:00;5;12:05;5;12:05;5;12:25;
S005;22;31.0;198.0;9.7;0;0;0;2;08:06;0.0;0.0;0.07;0.07;37;BERÇO CS 02;2;08:10;2;08:30;2;08:30;2;08:35;2;08:35;2;08:40;2;08:40;2;08:45;;;;;2;08:45;2;08:50;2;08:50;2;08:55;;;;;;;;;;;;;2;08:55;2;09:00;2;09:00;2;09:10;;;;;;;;;;;;;;;;;;;;;2;09:10;2;09:10;8;00:30;8;00:00;;;;;;;;;;;;;;;;;;;;;8;00:00;8;00:30;8;00:30;8;00:35;;;;;;;;;;;;;8;00:35;8;00:40;8;00:40;8;00:45;;;;;8;00:45;8;00:50;8;00:50;8;00:55;8;00:55;8;01:00;8;01:00;8;01:20;
S005;23;25.0;156.53;8.7;0;0;0;2;00:35;0.08;0.0;0.0;0.08;3;BERÇO AL 02;2;00:40;2;01:00;2;01:00;2;01:05;2;01:05;2;01:10;2;01:10;2;01:15;;;;;2;01:15;2;01:20;2;01:20;2;01:25;;;;;;;;;;;;;2;01:25;2;01:30;2;01:30;2;01:35;2;01:35;2;01:40;2;01:40;2;02:10;;;;;;;;;;;;;2;02:10;2;02:10;4;04:44;4;03:55;;;;;;;;;;;;;4;03:55;4;04:05;4;04:05;4;04:10;4;04:10;4;04:15;4;04:15;4;04:20;;;;;;;;;;;;;4;04:20;4;04:25;4;04:25;4;04:30;;;;;4;04:30;4;04:35;4;04:35;4;04:40;4;04:40;4;04:45;4;04:45;4;05:05;
S005;25;17.0;75.2;4.5;0;0;0;2;10:30;0.08;0.0;0.0;0.08;49;BERÇO SAIPEM 2;2;10:35;2;10:55;2;10:55;2;11:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;11:25;2;11:25;2;17:45;2;18:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;18:10;2;18:20;2;18:20;2;18:40;
S005;26;32.0;189.99;12.74;0;0;0;2;03:18;0.08;0.0;0.12;0.2;57;BERÇO TERMAG;2;03:30;2;03:50;2;03:50;2;03:55;2;03:55;2;04:00;2;04:00;2;04:05;2;04:05;2;04:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;04:15;2;04:15;6;21:45;6;21:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;21:15;6;21:45;6;21:45;6;21:50;6;21:50;6;21:55;6;21:55;6;22:00;6;22:00;6;22:20;
S005;27;24.0;145.0;9.5;0;0;0;3;16:00;0.08;0.0;0.17;0.25;46;BERÇO IB BC;3;16:15;3;16:35;3;16:35;3;16:40;3;16:40;3;16:45;3;16:45;3;16:50;;;;;3;16:50;3;16:55;3;16:55;3;17:00;;;;;;;;;;;;;3;17:00;3;17:05;3;17:05;3;17:15;;;;;;;;;;;;;;;;;;;;;3;17:15;3;17:15;5;16:00;5;14:50;;;;;;;;;;;;;;;;;;;;;5;14:50;5;15:20;5;15:20;5;15:25;;;;;;;;;;;;;5;15:25;5;15:30;5;15:30;5;15:35;;;;;5;15:35;5;15:40;5;15:40;5;15:45;5;15:45;5;15:50;5;15:50;5;16:10;
S005;28;18.0;116.26;4.9;0;0;0;3;10:18;0.08;0.0;0.45;0.53;35;BERÇO CORTE;3;10:50;3;11:10;3;11:10;3;11:15;3;11:15;3;11:20;3;11:20;3;11:25;;;;;3;11:25;3;11:30;3;11:30;3;11:35;;;;;;;;;;;;;3;11:35;3;11:40;3;11:40;3;12:10;;;;;;;;;;;;;;;;;;;;;3;12:10;3;12:10;3;20:27;3;20:30;;;;;;;;;;;;;;;;;;;;;3;20:30;3;20:40;3;20:40;3;20:45;;;;;;;;;;;;;3;20:45;3;20:50;3;20:50;3;20:55;;;;;3;20:55;3;21:00;3;21:00;3;21:05;3;21:05;3;21:10;3;21:10;3;21:30;
S005;30;40.0;276.2;8.3;0;0;0;3;11:03;0.08;0.28;0.0;0.37;33;BERÇO BTP 2;3;11:25;3;11:45;3;11:45;3;11:50;3;11:50;3;11:55;3;11:55;3;12:00;;;;;3;12:00;3;12:05;3;12:05;3;12:10;;;;;;;;;;;;;3;12:10;3;12:15;3;12:15;3;12:20;3;12:20;3;12:50;;;;;;;;;;;;;;;;;3;12:50;3;12:50;3;19:15;3;19:15;;;;;;;;;;;;;;;;;3;19:15;3;19:25;3;19:25;3;19:30;3;19:30;3;19:35;;;;;;;;;;;;;3;19:35;3;19:40;3;19:40;3;19:45;;;;;3;19:45;3;19:50;3;19:50;3;19:55;3;19:55;3;20:00;3;20:00;3;20:20;
S005;31;45.0;299.9;11.5;0;0;0;3;07:00;0.08;0.33;0.0;0.42;34;BERÇO BTP 3;3;07:25;3;07:45;3;07:45;3;07:50;3;07:50;3;07:55;3;07:55;3;08:00;;;;;3;08:00;3;08:05;3;08:05;3;08:10;;;;;;;;;;;;;3;08:10;3;08:15;3;08:15;3;08:20;3;08:20;3;08:50;;;;;;;;;;;;;;;;;3;08:50;3;08:50;3;22:48;3;23:05;;;;;;;;;;;;;;;;;3;23:05;3;23:15;3;23:15;3;23:20;3;23:20;3;23:25;;;;;;;;;;;;;3;23:25;3;23:30;3;23:30;3;23:35;;;;;3;23:35;3;23:40;3;23:40;3;23:45;3;23:45;3;23:50;3;23:50;4;00:10;
S005;35;32.0;225.0;9.0;0;0;0;3;03:00;0.08;21.0;0.17;21.25;44;BERÇO DPW 3;4;00:15;4;00:35;4;00:35;4;00:40;4;00:40;4;00:45;4;00:45;4;00:50;;;;;4;00:50;4;00:55;4;00:55;4;01:00;;;;;;;;;4;01:00;4;01:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;01:30;4;01:30;10;02:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S005;36;32.0;183.1;7.85;0;0;0;3;22:00;24.83;0.83;0.33;26.0;5;BERÇO AL 04;5;00:00;5;00:20;5;00:20;5;00:25;5;00:25;5;00:30;5;00:30;5;00:35;;;;;5;00:35;5;00:40;5;00:40;5;00:45;;;;;;;;;;;;;5;00:45;5;00:50;5;00:50;5;00:55;5;00:55;5;01:00;5;01:00;5;01:30;;;;;;;;;;;;;5;01:30;5;01:30;6;06:22;6;10:30;;;;;;;;;;;;;6;10:30;6;10:40;6;10:40;6;10:45;6;10:45;6;10:50;6;10:50;6;10:55;;;;;;;;;;;;;6;10:55;6;11:00;6;11:00;6;11:05;;;;;6;11:05;6;11:10;6;11:10;6;11:15;6;11:15;6;11:20;6;11:20;6;11:40;
