SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S005;46;27.0;158.98;8.7;0;0;0;3;21:12;24.55;0.78;1.47;26.8;BERÇO AL 04;5;00:00;5;01:10;5;01:10;6;09:30;6;10:45;6;12:15
S005;47;22.0;119.9;7.2;0;0;0;4;12:30;0.08;0.0;0.0;0.08;BERÇO IB BC;4;12:35;4;13:55;4;13:55;6;08:05;6;08:50;6;09:50
S005;48;24.0;145.53;9.7;0;0;0;4;03:00;0.08;0.0;0.0;0.08;BERÇO Ageo I;4;03:05;4;04:05;4;04:05;5;05:05;5;05:05;5;06:25
S005;49;40.0;293.2;10.8;0;0;0;4;23:30;0.5;0.0;0.42;0.92;BERÇO BTP 2;5;00:25;5;01:30;5;01:30;5;18:23;5;19:55;5;21:20
S005;51;30.0;179.99;6.4;0;0;0;4;06:00;0.08;0.0;0.42;0.5;BERÇO ARM 31;4;06:30;4;07:35;4;07:35;7;00:11;7;00:15;7;01:00
S005;52;40.0;299.95;10.9;0;0;0;4;20:00;0.08;0.0;0.42;0.5;BERÇO DPW 2;4;20:30;4;21:45;4;21:45;5;13:56;;;;;;
S005;53;30.0;210.56;8.1;0;0;0;4;08:30;0.08;0.0;0.0;0.08;BERÇO ARM 35P2;4;08:35;4;09:40;4;09:40;7;11:00;7;11:00;7;11:45
S005;54;32.0;199.9;7.1;0;0;0;4;10:36;0.08;0.0;0.9;0.98;BERÇO ARM 33;4;11:35;4;12:40;4;12:40;6;20:05;6;20:10;6;20:55
S005;57;40.0;304.16;13.4;0;0;0;4;06:01;0.0;0.0;0.07;0.07;BERÇO TECON 1.2;4;06:05;4;06:50;4;06:50;5;00:04;5;00:35;5;01:40
S005;58;32.0;262.08;8.15;0;0;0;4;18:30;0.08;0.0;0.0;0.08;BERÇO TECON 2;4;18:35;4;19:20;4;19:20;5;08:17;5;08:20;5;09:25
S005;59;37.0;255.36;10.5;0;0;0;4;07:30;0.08;0.0;0.25;0.33;BERÇO TECON 3;4;07:50;4;08:35;4;08:35;4;19:19;4;19:20;4;20:25
S005;60;32.0;229.0;14.2;0;0;0;4;15:00;0.92;55.33;0.0;56.25;BERÇO TERMAG;6;23:15;7;00:00;7;00:00;12;19:28;;;;;;
S005;61;32.0;183.1;8.8;0;0;0;5;17:00;0.08;0.42;0.0;0.5;BERÇO IB SP;5;17:30;5;18:50;5;18:50;7;00:10;7;00:25;7;01:25
S005;62;37.0;227.92;11.4;0;0;0;5;01:55;0.08;0.0;0.0;0.08;BERÇO BTP 1;5;02:00;5;03:05;5;03:05;5;07:19;5;07:20;5;08:45
S005;63;31.0;213.4;11.78;0;0;0;5;18:40;0.08;0.0;1.0;1.08;BERÇO DPW 4;5;19:45;5;21:00;5;21:00;9;12:43;9;12:45;9;13:40
S005;64;28.0;172.0;9.0;0;0;0;5;23:10;0.5;0.0;0.33;0.83;BERÇO DPW 1;6;00:00;6;00:55;6;00:55;6;14:09;6;14:20;6;15:35
S005;65;24.0;145.0;9.6;0;0;0;5;16:35;0.08;0.0;0.42;0.5;BERÇO AL 02;5;17:05;5;18:15;5;18:15;6;21:12;7;00:45;7;02:15
S005;66;44.0;289.59;8.3;0;1;0;5;06:30;0.08;0.0;0.0;0.08;BERÇO 25 + FRIG;5;06:35;5;07:45;5;07:45;5;18:25;5;18:30;5;19:40
S005;68;45.0;299.9;13.85;0;0;0;5;12:00;0.08;0.0;0.0;0.08;BERÇO TECON 1.2;5;12:05;5;12:50;5;12:50;6;13:06;6;14:05;6;15:10
S005;70;18.0;116.82;5.0;0;0;0;6;14:30;0.83;10.17;0.0;11.0;BERÇO IB SP;7;01:30;7;02:50;7;02:50;8;10:35;8;10:35;8;11:35
S005;71;28.0;179.99;8.0;0;0;0;6;22:48;0.87;16.75;0.0;17.62;BERÇO IB BC;7;16:25;7;17:45;7;17:45;10;18:40;;;;;;
S005;72;23.0;142.4;7.0;0;0;0;6;09:30;0.08;0.0;0.67;0.75;BERÇO IB BC;6;10:15;6;11:15;6;11:15;7;14:57;7;15:00;7;16:20
S005;73;32.0;183.06;11.4;0;0;0;6;12:00;0.08;0.0;0.25;0.33;BERÇO Ageo I;6;12:20;6;13:20;6;13:20;9;03:38;9;03:40;9;05:00
S005;74;21.0;138.54;5.9;0;0;0;6;06:30;0.08;0.0;2.5;2.58;BERÇO CS 04;6;09:05;6;10:25;6;10:25;6;10:26;6;10:40;6;11:40
S005;75;36.0;210.0;11.55;0;0;0;6;07:24;0.08;0.0;0.27;0.35;BERÇO VAL;6;07:45;6;08:45;6;08:45;6;18:45;6;18:45;6;20:05
S005;76;37.0;210.0;8.45;0;0;0;6;21:30;0.08;0.0;1.0;1.08;BERÇO ARM 37;6;22:35;6;23:35;6;23:35;8;06:29;8;06:30;8;07:10
S005;77;33.0;199.9;7.5;0;0;0;6;16:30;0.08;3.58;0.0;3.67;BERÇO VAL;6;20:10;6;21:30;6;21:30;10;21:10;10;21:10;10;22:10
S005;78;33.0;180.4;10.28;0;0;0;6;13:00;0.08;0.0;0.08;0.17;BERÇO ARM 35P1;6;13:10;6;13:55;6;13:55;13;04:55;;;;;;
S005;79;45.0;299.9;10.95;0;0;0;6;21:00;0.08;0.0;0.0;0.08;BERÇO BTP 2;6;21:05;6;22:30;6;22:30;7;20:33;7;20:35;7;21:40
S005;81;32.0;204.35;11.6;0;0;0;6;08:30;2.33;74.92;0.0;77.25;BERÇO DPW 4;9;13:45;9;15:00;9;15:00;11;05:35;;;;;;
S005;82;45.83;334.98;10.3;0;0;0;6;05:00;0.08;10.58;0.0;10.67;BERÇO DPW 1;6;15:40;6;16:55;6;16:55;8;01:20;;;;;;
S005;83;30.0;182.9;11.3;0;0;0;6;12:00;0.08;0.0;0.67;0.75;BERÇO AL 03;6;12:45;6;13:55;6;13:55;9;00:53;9;01:15;9;02:45
S005;84;17.0;75.2;4.15;0;0;0;6;08:10;0.08;0.0;0.0;0.08;BERÇO SAIPEM 2;6;08:15;6;09:05;6;09:05;6;14:05;6;14:05;6;14:35
S005;86;35.0;185.99;9.2;0;0;0;6;03:00;0.08;0.0;0.0;0.08;BERÇO TECON 2;6;03:05;6;03:50;6;03:50;6;15:09;6;15:50;6;16:55
S005;88;26.0;157.4;6.1;0;0;0;6;13:30;0.08;0.0;2.58;2.67;BERÇO CUTRALE;6;16:10;6;17:10;6;17:10;8;02:27;8;03:10;8;03:50
S005;89;32.0;199.98;8.53;0;0;0;6;12:00;0.08;0.0;1.5;1.58;BERÇO OUT 3;6;13:35;6;14:45;6;14:45;8;23:05;8;23:05;8;23:55
S005;90;32.3;189.99;6.19;0;0;0;6;07:00;0.08;0.0;0.0;0.08;BERÇO TIPLAM 2;6;07:05;6;09:05;6;09:05;8;22:35;9;00:00;9;01:30
S005;91;32.0;186.07;8.2;0;0;0;7;20:04;0.52;15.08;0.0;15.6;BERÇO IB SP;8;11:40;8;12:40;8;12:40;10;04:15;10;04:15;10;05:35
S005;92;32.0;204.38;11.43;0;0;0;7;17:30;1.33;75.83;0.0;77.17;BERÇO VAL;10;22:40;10;23:40;10;23:40;12;01:43;;;;;;
S005;93;32.0;260.66;11.5;0;0;0;7;04:20;0.08;0.0;0.0;0.08;BERÇO BTP 1;7;04:25;7;05:30;7;05:30;8;00:23;8;00:25;8;01:50
S005;97;22.0;189.99;11.62;0;0;0;7;20:30;0.08;0.0;1.17;1.25;BERÇO ARM 38;7;21:45;7;22:45;7;22:45;9;11:32;9;11:35;9;12:15
S005;99;37.0;227.92;9.9;0;0;0;7;12:30;0.08;0.0;0.0;0.08;BERÇO TECON 1.2;7;12:35;7;13:40;7;13:40;7;18:29;7;18:30;7;19:15
S005;100;29.0;175.53;9.94;0;0;0;7;01:00;0.08;0.0;1.25;1.33;BERÇO TIPLAM 1;7;02:20;7;03:50;7;03:50;13;19:10;;;;;;
S005;102;35.0;228.95;7.3;0;0;0;8;21:00;0.08;0.0;0.0;0.08;BERÇO ARM 37;8;21:05;8;22:05;8;22:05;10;21:53;10;21:55;10;22:35
S005;103;32.0;213.88;8.5;0;0;0;8;07:30;0.08;0.0;0.0;0.08;BERÇO BTP 2;8;07:35;8;08:40;8;08:40;9;00:52;9;00:55;9;02:20
S005;110;38.0;229.2;7.9;0;0;0;8;07:45;0.08;0.0;0.17;0.25;BERÇO ARM 13/14;8;08:00;8;09:15;8;09:15;13;14:04;;;;;;
S005;111;28.0;179.99;9.33;0;0;0;8;09:00;0.08;0.0;0.0;0.08;BERÇO CS 01;8;09:05;8;10:05;8;10:05;15;09:35;;;;;;
S005;112;33.0;177.9;8.2;0;0;0;8;13:20;0.08;0.0;0.08;0.17;BERÇO SAIPEM 1;8;13:30;8;14:20;8;14:20;14;14:20;;;;;;
S005;113;32.0;231.0;11.5;0;0;0;8;10:00;0.08;0.0;0.0;0.08;BERÇO TECON 3;8;10:05;8;10:50;8;10:50;9;05:39;9;06:20;9;07:25
S005;114;40.0;272.05;10.05;0;0;0;8;02:00;0.08;0.0;0.42;0.5;BERÇO TECON 1.2;8;02:30;8;03:15;8;03:15;8;16:04;8;16:05;8;17:10
S005;115;25.0;182.47;7.6;0;0;0;8;13:00;0.08;0.0;0.0;0.08;BERÇO TECON 1.1;8;13:05;8;13:50;8;13:50;9;22:38;9;22:40;9;23:45
S005;116;24.0;146.6;5.8;0;0;0;8;19:54;0.0;0.0;0.02;0.02;BERÇO AL 02;8;19:55;8;21:25;8;21:25;9;15:35;9;15:35;9;16:45
S005;117;21.0;134.75;7.9;0;0;0;9;04:23;0.08;0.62;0.0;0.7;BERÇO Ageo I;9;05:05;9;06:05;9;06:05;11;07:53;;;;;;
S005;118;45.0;299.9;10.1;0;0;0;9;20:54;0.0;0.0;0.02;0.02;BERÇO BTP 2;9;20:55;9;22:00;9;22:00;10;13:34;10;13:50;10;15:15
S005;122;36.0;199.99;8.65;0;0;0;9;17:30;0.08;0.0;0.0;0.08;BERÇO ARM 34;9;17:35;9;18:40;9;18:40;11;01:26;;;;;;
S005;124;32.23;183.05;8.8;0;0;0;9;07:45;0.08;9.0;0.0;9.08;BERÇO AL 02;9;16:50;9;18:20;9;18:20;10;22:14;10;22:15;10;23:25
S005;125;27.4;183.98;7.4;0;0;0;9;06:06;0.0;0.0;0.07;0.07;BERÇO AL 01;9;06:10;9;07:40;9;07:40;10;13:40;10;13:40;10;14:50
S005;126;19.0;88.8;4.9;0;0;0;9;14:05;0.08;0.0;0.0;0.08;BERÇO SAIPEM 2;9;14:10;9;15:00;9;15:00;12;01:00;;;;;;
S005;127;37.0;255.0;10.3;0;0;0;9;05:30;0.08;0.0;0.0;0.08;BERÇO TECON 2;9;05:35;9;06:20;9;06:20;9;21:55;9;21:55;9;23:00
S005;134;30.0;199.2;11.15;0;0;0;10;15:00;0.08;0.0;0.25;0.33;BERÇO ARM 33;10;15:20;10;16:25;10;16:25;11;04:42;;;;;;
S005;136;28.0;186.36;9.0;0;0;0;10;06:00;0.08;0.0;0.0;0.08;BERÇO TECON 3;10;06:05;10;07:10;10;07:10;10;19:11;10;19:15;10;20:00
S005;137;32.0;258.89;9.0;0;0;0;10;01:42;0.0;0.0;0.05;0.05;BERÇO TECON 3;10;01:45;10;02:30;10;02:30;10;03:55;10;03:55;10;05:00
S005;139;32.0;190.0;11.71;0;0;0;10;17:00;0.08;0.0;0.0;0.08;BERÇO OUT 3;10;17:05;10;18:15;10;18:15;10;22:30;;;;;;
S005;140;28.0;179.87;8.5;0;0;0;10;08:45;0.08;0.0;0.0;0.08;BERÇO TIPLAM 2;10;08:50;10;10:20;10;10:20;11;06:02;;;;;;
